Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Bob Barton,29,121,413,376,23,94,17,2,5,23,0,5,35,49,0.25,0.317,0.346,0.663,94,130,16,2,0,0,11
2,1B,Nate Colbert,25,156,639,565,81,149,25,3,27,84,5,2,63,119,0.264,0.339,0.462,0.801,133,261,17,4,2,5,6
3,2B,Don Mason*,26,113,377,344,43,73,12,1,2,11,6,4,27,35,0.212,0.27,0.27,0.54,59,93,11,0,6,0,0
4,SS,Enzo Hernandez,22,143,618,549,58,122,9,3,0,12,21,5,54,34,0.222,0.295,0.25,0.545,61,137,6,3,12,0,1
5,3B,Ed Spiezio,29,97,340,308,16,71,10,1,7,36,6,5,22,50,0.231,0.286,0.338,0.624,82,104,8,4,1,5,3
6,LF,Leron Lee*,23,79,275,256,29,70,20,2,4,21,4,5,18,45,0.273,0.321,0.414,0.735,114,106,4,0,1,0,4
7,CF,Cito Gaston,27,141,547,518,57,118,13,9,17,61,1,0,24,121,0.228,0.264,0.386,0.65,88,200,10,2,2,1,1
8,RF,Ollie Brown,27,145,542,484,36,132,16,0,9,55,3,3,52,74,0.273,0.346,0.362,0.707,107,175,10,3,1,2,5
9,IF,Dave Campbell,29,108,414,365,38,83,14,2,7,29,9,6,37,75,0.227,0.299,0.334,0.633,85,122,5,0,12,0,0
10,OF,Larry Stahl*,30,114,341,308,27,78,13,4,8,36,4,3,26,59,0.253,0.31,0.399,0.709,106,123,7,0,5,2,4
11,LF,Ivan Murrell,28,103,267,255,23,60,6,3,7,24,5,2,7,60,0.235,0.263,0.365,0.628,82,93,8,3,1,1,1
12,IF,Garry Jestadt,24,75,204,189,17,55,13,0,0,13,1,3,11,24,0.291,0.328,0.36,0.688,101,68,9,0,3,1,0
13,C,Fred Kendall,22,49,120,111,2,19,1,0,1,7,1,0,7,16,0.171,0.22,0.207,0.428,26,23,4,0,2,0,3
14,SS,Tommy Dean,25,41,80,70,2,8,0,0,0,1,1,0,4,13,0.114,0.162,0.114,0.276,-18,8,2,0,6,0,0
15,CF,Johnny Jeter,26,18,79,75,8,24,4,0,1,3,2,0,2,16,0.32,0.338,0.413,0.751,119,31,1,0,2,0,0
16,C,Chris Cannizzaro,33,21,75,63,2,12,1,0,1,8,0,0,11,10,0.19,0.32,0.254,0.574,70,16,7,1,0,0,0
17,OF,Angel Bravo*,28,52,68,58,6,9,2,0,0,6,0,1,8,12,0.155,0.265,0.19,0.454,35,11,0,1,0,1,1
18,LF,Al Ferrara,31,17,22,17,0,2,1,0,0,2,0,0,5,5,0.118,0.318,0.176,0.495,48,3,2,0,0,0,1
19,LF,Rod Gaspar#,25,16,20,17,1,2,0,0,0,2,0,1,3,3,0.118,0.25,0.118,0.368,11,2,0,0,0,0,0
20,3B,Ron Slocum,25,7,20,18,1,0,0,0,0,0,0,0,0,8,0,0.053,0,0.053,-83,0,0,1,1,0,0
21,C,Mike Ivie,18,6,19,17,0,8,0,0,0,3,0,0,1,1,0.471,0.526,0.471,0.997,194,8,3,1,0,0,1
22,OF,Jerry Morales,22,12,19,17,1,2,0,0,0,1,1,0,2,2,0.118,0.211,0.118,0.328,-2,2,1,0,0,0,0
23,,Ramon Webster*,28,10,10,8,0,1,0,0,0,0,0,0,2,1,0.125,0.3,0.125,0.425,29,1,0,0,0,0,0
24,,Dave Robinson#,25,7,7,6,0,0,0,0,0,0,0,0,1,3,0,0.143,0,0.143,-55,0,0,0,0,0,0
25,P,Clay Kirby,23,40,97,86,3,8,0,0,0,3,0,0,6,35,0.093,0.152,0.093,0.245,-27,8,0,0,5,0,0
26,P,Dave Roberts*,26,38,94,86,2,19,2,0,0,2,0,0,0,24,0.221,0.221,0.244,0.465,36,21,1,0,8,0,0
27,P,Steve Arlin,25,36,83,73,5,9,0,1,0,2,0,0,3,20,0.123,0.156,0.151,0.307,-10,11,1,0,6,1,0
28,P,Fred Norman#,28,25,44,38,1,9,1,0,0,0,0,0,3,12,0.237,0.293,0.263,0.556,64,10,1,0,3,0,0
29,P,Tom Phoebus,29,29,41,36,2,6,2,0,0,0,0,0,3,18,0.167,0.231,0.222,0.453,33,8,0,0,2,0,0
30,P,Danny Coombs,29,19,17,14,2,3,1,0,0,1,0,0,1,8,0.214,0.267,0.286,0.552,62,4,0,0,2,0,0
31,P,Ed Acosta#,27,8,17,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,-100,0,0,0,0,0,0
32,P,Bob Miller,32,38,12,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,2,0,0
33,P,Al Santorini,23,18,5,5,0,2,0,0,0,1,0,0,0,2,0.4,0.4,0.4,0.8,135,2,0,0,0,0,0
34,P,Dick Kelley,31,48,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,96,1,0,0,0,0,0
35,P,Gary Ross,23,13,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,1,0,0
36,P,Al Severinsen,26,59,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,1,0,0
37,P,Mike Caldwell,22,6,1,1,0,1,1,0,0,0,0,0,0,0,1,1,2,3,760,2,0,0,0,0,0
38,P,Jay Franklin,18,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
39,P,Mike Corkins,25,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Bill Laxton*,23,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,26.4,161,5935,5366,486,1250,184,31,96,447,70,45,438,966,0.233,0.293,0.332,0.625,83,1784,134,25,87,19,42
,,Rank in 12 NL teams,,,,11,12,12,12,8,8,,6,9,10,10,11,12,12,12,,12,,10,,12,
,,Non-Pitcher Totals,26.5,161,5516,4994,471,1192,177,30,96,438,70,45,422,835,0.239,0.3,0.344,0.644,88,1717,131,25,57,18,42
,,Pitcher Totals,25.9,161,419,372,15,58,7,1,0,9,0,0,16,131,0.156,0.19,0.18,0.37,9,67,3,0,30,1,0
