Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Benito Santiago,25,100,382,344,42,93,8,5,11,53,5,5,27,55,0.27,0.323,0.419,0.741,102,144,4,3,1,7,2
2,1B,Jack Clark,34,115,442,334,59,89,12,1,25,62,4,3,104,91,0.266,0.441,0.533,0.974,167,178,12,2,0,2,11
3,2B,Roberto Alomar#,22,147,646,586,80,168,27,5,6,60,24,7,48,72,0.287,0.34,0.381,0.721,98,223,16,2,5,5,1
4,SS,Garry Templeton#,34,144,541,505,45,125,25,3,9,59,1,4,24,59,0.248,0.28,0.362,0.642,75,183,17,0,8,4,7
5,3B,Mike Pagliarulo*,30,128,446,398,29,101,23,2,7,38,1,3,39,66,0.254,0.322,0.374,0.696,91,149,12,3,2,4,3
6,LF,Bip Roberts#,26,149,629,556,104,172,36,3,9,44,46,12,55,65,0.309,0.375,0.433,0.809,122,241,8,6,8,4,1
7,CF,Joe Carter,30,162,697,634,79,147,27,1,24,115,22,6,48,93,0.232,0.29,0.391,0.681,85,248,12,7,0,8,18
8,RF,Tony Gwynn*,30,141,629,573,79,177,29,10,4,72,17,8,44,23,0.309,0.357,0.415,0.772,112,238,13,1,7,4,20
9,LF,Fred Lynn*,38,90,223,196,18,47,3,1,6,23,2,0,22,44,0.24,0.315,0.357,0.672,85,70,1,1,1,3,2
10,1B,Phil Stephenson*,29,103,213,182,26,38,9,1,4,19,2,1,30,43,0.209,0.319,0.335,0.654,80,61,3,0,0,1,1
11,C,Mark Parent,28,65,208,189,13,42,11,0,3,16,1,0,16,29,0.222,0.283,0.328,0.611,67,62,2,0,3,0,3
12,CF,Shawn Abner,24,91,198,184,17,45,9,0,1,15,2,3,9,28,0.245,0.286,0.31,0.595,64,57,3,2,2,1,1
13,CF,Darrin Jackson,26,58,120,113,10,29,3,0,3,9,3,0,5,24,0.257,0.286,0.363,0.649,77,41,1,0,1,1,1
14,UT,Jerald Clark,26,53,107,101,12,27,4,1,5,11,0,0,5,24,0.267,0.299,0.475,0.774,109,48,3,0,0,1,0
15,MI,Joey Cora#,25,51,106,100,12,27,3,0,0,2,8,3,6,9,0.27,0.311,0.3,0.611,69,30,1,0,0,0,1
16,C,Tom Lampkin*,26,26,67,63,4,14,0,1,1,4,0,1,4,9,0.222,0.269,0.302,0.57,57,19,2,0,0,0,1
17,3B,Eddie Williams,25,14,47,42,5,12,3,0,3,4,0,1,5,6,0.286,0.362,0.571,0.933,152,24,1,0,0,0,2
18,IF,Paul Faries,25,14,45,37,4,7,1,0,0,2,0,1,4,7,0.189,0.279,0.216,0.495,38,8,0,1,2,1,0
19,OF,Thomas Howard#,25,20,45,44,4,12,2,0,0,0,0,1,0,11,0.273,0.273,0.318,0.591,62,14,1,0,1,0,0
20,C,Ronn Reynolds,31,8,16,15,1,1,1,0,0,1,0,0,1,6,0.067,0.125,0.133,0.258,-29,2,0,0,0,0,0
21,,Rob Nelson*,26,5,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,0,0
22,P,Ed Whitson,35,33,82,67,6,10,1,0,1,4,0,0,2,16,0.149,0.174,0.209,0.383,5,14,1,0,13,0,0
23,P,Bruce Hurst*,32,33,78,67,2,6,0,0,0,1,0,0,4,43,0.09,0.141,0.09,0.23,-35,6,0,0,7,0,0
24,P,Dennis Rasmussen*,31,33,71,62,8,18,2,0,0,8,0,0,2,18,0.29,0.308,0.323,0.63,74,20,1,0,6,1,0
25,P,Andy Benes,22,32,68,60,2,6,1,0,0,2,0,0,2,25,0.1,0.127,0.117,0.244,-32,7,1,0,5,1,0
26,P,Eric Show,34,39,26,25,3,5,1,0,0,2,0,0,0,8,0.2,0.2,0.24,0.44,20,6,0,0,1,0,0
27,P,Derek Lilliquist*,24,16,23,20,3,3,0,0,0,0,0,0,1,4,0.15,0.19,0.15,0.34,-5,3,1,0,2,0,0
28,P,Calvin Schiraldi,28,42,23,21,2,4,2,0,1,1,0,0,1,6,0.19,0.227,0.429,0.656,76,9,0,0,1,0,0
29,P,Greg Harris,26,73,13,12,1,1,0,1,0,0,0,0,0,8,0.083,0.083,0.25,0.333,-12,3,0,0,1,0,0
30,P,Mike Dunne,27,10,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
31,P,Craig Lefferts*,32,56,6,4,1,1,0,0,0,1,0,0,0,2,0.25,0.25,0.25,0.5,38,1,0,0,2,0,0
32,P,Rich Rodriguez*,27,32,4,3,1,0,0,0,0,0,0,0,1,1,0,0.25,0,0.25,-25,0,1,0,0,0,0
33,P,Atlee Hammaker#,32,9,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,176,1,0,0,0,0,0
34,P,Mark Grant,26,26,2,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,176,1,0,0,0,0,0
35,P,Rafael Valdez,22,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
36,P,John Davis,27,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
37,P,Pat Clements,28,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,28.8,162,6218,5554,673,1429,243,35,123,628,138,59,509,902,0.257,0.32,0.38,0.7,92,2111,117,28,79,48,75
,,Rank in 12 NL teams,,,,3,8,5,6,6,8,,7,7,8,4,6,8,8,8,,7,,7,,5,
,,Non-Pitcher Totals,28.7,162,5812,5201,643,1373,236,34,121,609,138,59,496,768,0.264,0.329,0.392,0.721,97,2040,112,28,41,46,75
,,Pitcher Totals,29.8,162,406,353,30,56,7,1,2,19,0,0,13,134,0.159,0.188,0.201,0.389,7,71,5,0,38,2,0
