Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Fred Kendall,26,103,314,286,16,57,12,1,0,24,0,1,26,28,0.199,0.265,0.248,0.513,47,71,10,0,1,1,5
2,1B,Willie McCovey*,37,122,475,413,43,104,17,0,23,68,1,0,57,80,0.252,0.345,0.46,0.805,129,190,10,3,0,2,8
3,2B,Tito Fuentes#,31,146,613,565,57,158,21,3,4,43,8,8,25,51,0.28,0.309,0.349,0.658,88,197,15,3,12,8,2
4,SS,Enzo Hernandez,26,116,399,344,37,75,12,2,0,19,20,4,26,25,0.218,0.275,0.265,0.539,55,91,7,2,24,3,0
5,3B,Mike Ivie,22,111,411,377,36,94,16,2,8,46,4,4,20,63,0.249,0.291,0.366,0.657,87,138,12,4,5,5,2
6,LF,Bobby Tolan*,29,147,560,506,58,129,19,4,5,43,11,13,28,45,0.255,0.306,0.338,0.644,84,171,15,10,14,2,3
7,CF,Johnny Grubb*,26,144,625,553,72,149,36,2,4,38,2,7,59,59,0.269,0.342,0.363,0.706,102,201,7,5,3,5,4
8,RF,Dave Winfield,23,143,591,509,74,136,20,2,15,76,23,4,69,82,0.267,0.354,0.403,0.756,116,205,11,3,3,7,14
9,IF,Hector Torres,29,112,389,352,31,91,12,0,5,26,2,3,22,32,0.259,0.297,0.335,0.633,81,118,8,0,7,6,3
10,LF,Gene Locklear*,25,100,263,237,31,76,11,1,5,27,4,2,22,26,0.321,0.378,0.439,0.817,133,104,4,1,1,2,4
11,3B,Ted Kubiak#,33,87,223,196,13,44,5,0,0,14,3,1,24,18,0.224,0.308,0.25,0.558,61,49,5,0,2,1,5
12,C,Randy Hundley,33,74,202,180,7,37,5,1,2,14,0,0,19,29,0.206,0.284,0.278,0.561,61,50,5,1,0,1,1
13,LF,Dick Sharon,25,91,191,160,14,31,7,0,4,20,0,2,26,35,0.194,0.306,0.313,0.619,77,50,6,0,5,0,0
14,C,Bob Davis,23,43,143,128,6,30,3,2,0,7,0,0,11,31,0.234,0.31,0.289,0.599,72,37,3,3,1,0,3
15,3B,Dave Roberts,24,33,132,113,7,32,2,0,2,12,3,1,13,19,0.283,0.367,0.354,0.721,107,40,1,2,4,0,3
16,3B,Steve Huntz#,29,22,62,53,3,8,4,0,0,4,0,0,7,8,0.151,0.25,0.226,0.476,37,12,1,0,2,0,2
17,OF,Don Hahn,26,34,36,26,7,6,1,2,0,3,1,0,10,2,0.231,0.444,0.423,0.868,149,11,2,0,0,0,0
18,LF,Jerry Turner*,21,11,24,22,1,6,0,0,0,0,0,0,2,1,0.273,0.333,0.273,0.606,75,6,1,0,0,0,1
19,C,Jerry Moses,28,13,21,19,1,3,2,0,0,1,0,0,2,3,0.158,0.238,0.263,0.501,43,5,1,0,0,0,0
20,LF,Bobby Valentine,25,7,20,15,1,2,0,0,1,1,1,0,4,0,0.133,0.316,0.333,0.649,86,5,0,0,1,0,0
21,3B,Glenn Beckert,34,9,17,16,2,6,1,0,0,0,0,0,1,0,0.375,0.412,0.438,0.849,143,7,0,0,0,0,0
22,SS,Bill Almon,22,6,10,10,0,4,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0.8,129,4,0,0,0,0,0
23,CF,John Scott,23,25,9,9,6,0,0,0,0,0,2,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
24,3B,Dave Hilton,24,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,1,0,0,0,0
25,P,Randy Jones,25,40,105,83,7,11,2,0,0,4,0,0,5,30,0.133,0.182,0.157,0.338,-3,13,1,0,17,0,0
26,P,Dave Freisleben,23,36,60,48,2,4,0,0,0,2,0,0,6,17,0.083,0.185,0.083,0.269,-21,4,0,0,6,0,0
27,P,Joe McIntosh#,23,38,60,48,6,9,2,0,0,5,0,0,4,10,0.188,0.236,0.229,0.466,34,11,0,0,5,3,0
28,P,Dan Spillner,23,37,59,45,4,6,1,0,0,0,0,0,8,25,0.133,0.264,0.156,0.42,22,7,0,0,6,0,0
29,P,Rich Folkers*,28,45,44,36,2,6,1,0,0,4,0,0,4,14,0.167,0.25,0.194,0.444,28,7,0,0,4,0,0
30,P,Brent Strom,26,18,38,30,3,3,1,0,0,1,0,0,2,6,0.1,0.156,0.133,0.29,-17,4,0,0,6,0,0
31,P,Jerry Johnson,31,21,12,12,1,1,1,0,0,0,0,0,0,4,0.083,0.083,0.167,0.25,-30,2,1,0,0,0,0
32,P,Alan Foster,28,19,11,11,1,1,0,0,0,2,0,0,0,3,0.091,0.091,0.091,0.182,-48,1,1,0,0,0,0
33,P,Sonny Siebert,38,7,11,8,1,3,1,0,0,1,0,0,2,2,0.375,0.5,0.5,1,187,4,0,0,1,0,0
34,P,Dave Tomlin*,26,67,9,5,1,1,0,0,0,0,0,0,2,1,0.2,0.429,0.2,0.629,84,1,0,0,2,0,0
35,P,Danny Frisella*,29,65,5,5,1,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,15,1,0,0,0,0,0
36,P,Bill Greif,25,59,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,1,0,0
37,P,Butch Metzger,23,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Larry Hardy,27,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,27.6,162,6154,5429,552,1324,215,22,78,505,85,50,506,754,0.244,0.31,0.335,0.645,84,1817,128,37,133,46,60
,,Rank in 12 NL teams,,,,11,12,11,11,12,12,,8,7,9,2,10,12,12,12,,12,,2,,4,
,,Non-Pitcher Totals,27.8,162,5738,5097,523,1278,206,22,78,486,85,50,473,640,0.251,0.316,0.346,0.662,89,1762,125,37,85,43,60
,,Pitcher Totals,25.2,162,416,332,29,46,9,0,0,19,0,0,33,114,0.139,0.215,0.166,0.38,10,55,3,0,48,3,0
