Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Terry Kennedy*,26,153,604,562,75,166,42,1,21,97,1,0,26,91,0.295,0.328,0.486,0.814,130,273,7,5,3,8,9
2,1B,Broderick Perkins*,27,125,382,347,32,94,10,4,2,34,2,1,26,20,0.271,0.325,0.34,0.665,90,118,6,3,3,2,10
3,2B,Tim Flannery*,24,122,423,379,40,100,11,7,0,30,1,0,30,32,0.264,0.317,0.33,0.646,85,125,4,2,6,6,10
4,SS,Garry Templeton#,26,141,601,563,76,139,25,8,6,64,27,16,26,82,0.247,0.279,0.352,0.631,79,198,19,1,6,5,7
5,3B,Luis Salazar,26,145,559,524,55,127,15,5,8,62,32,9,23,80,0.242,0.274,0.336,0.61,73,176,10,2,5,5,10
6,LF,Gene Richards*,28,132,562,521,63,149,13,8,3,28,30,20,36,52,0.286,0.333,0.359,0.692,98,187,5,2,1,2,1
7,CF,Ruppert Jones*,27,116,493,424,69,120,20,2,12,61,18,15,62,90,0.283,0.373,0.425,0.798,128,180,4,1,3,3,11
8,RF,Sixto Lezcano,28,138,559,470,73,136,26,6,16,84,2,1,78,69,0.289,0.388,0.472,0.86,145,222,11,2,2,7,10
9,OF,Alan Wiggins#,24,72,274,254,40,65,3,3,1,15,33,6,13,19,0.256,0.295,0.303,0.598,71,77,4,1,6,0,0
10,3B,Joe Lefebvre*,26,102,264,239,25,57,9,0,4,21,0,0,18,50,0.238,0.292,0.326,0.619,77,78,3,1,4,2,2
11,CF,Tony Gwynn*,22,54,209,190,33,55,12,2,1,17,8,3,14,16,0.289,0.337,0.389,0.726,107,74,5,0,4,1,0
12,2B,Juan Bonilla,26,45,197,182,21,51,6,2,0,8,0,1,11,15,0.28,0.325,0.335,0.66,89,61,2,1,3,0,0
13,1B,Kurt Bevacqua,35,64,145,123,15,31,9,0,0,24,2,0,17,22,0.252,0.333,0.325,0.659,89,40,5,0,1,4,4
14,2B,Joe Pittman,29,55,129,118,16,30,2,0,0,7,8,3,9,13,0.254,0.307,0.271,0.578,67,32,3,0,2,0,2
15,C,Steve Swisher,30,26,64,58,2,10,1,0,2,3,0,0,5,24,0.172,0.238,0.293,0.531,51,17,0,0,1,0,0
16,OF,Dave Edwards,28,71,56,55,7,10,2,0,1,2,0,0,1,14,0.182,0.196,0.273,0.469,33,15,2,0,0,0,0
17,UT,Rick Lancellotti*,25,17,41,39,2,7,2,0,0,4,0,0,2,8,0.179,0.22,0.231,0.45,29,9,0,0,0,0,0
18,1B,Randy Bass*,28,13,34,30,1,6,0,0,1,8,0,0,2,4,0.2,0.265,0.3,0.565,61,9,0,1,0,1,0
19,1B,Joe Lansford,21,13,29,22,6,4,0,0,0,3,0,1,6,4,0.182,0.345,0.182,0.527,55,4,0,0,0,1,0
20,IF,Mario Ramirez,24,13,25,23,1,4,1,0,0,1,0,0,2,4,0.174,0.24,0.217,0.457,32,5,0,0,0,0,0
21,C,Ron Tingley,23,8,21,20,0,2,0,0,0,0,0,0,0,7,0.1,0.1,0.1,0.2,-43,2,0,0,1,0,0
22,C,Doug Gwosdz,22,7,19,17,1,3,0,0,0,0,0,0,2,7,0.176,0.263,0.176,0.44,28,3,0,0,0,0,1
23,OF,George Hinshaw,22,6,18,15,1,4,0,0,0,1,0,0,3,5,0.267,0.389,0.267,0.656,91,4,0,0,0,0,1
24,IF,Jerry Manuel#,28,2,6,5,0,1,0,1,0,1,0,0,1,0,0.2,0.333,0.6,0.933,161,3,0,0,0,0,0
25,P,Tim Lollar*,26,36,92,85,12,21,1,1,3,11,0,0,5,26,0.247,0.289,0.388,0.677,92,33,2,0,2,0,0
26,P,John Montefusco,32,32,68,58,2,5,1,0,0,2,0,0,4,30,0.086,0.145,0.103,0.249,-28,6,1,0,6,0,0
