Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Benito Santiago,24,129,494,462,50,109,16,3,16,62,11,6,26,89,0.236,0.277,0.387,0.664,88,179,9,1,3,2,6
2,1B,Jack Clark,33,142,594,455,76,110,19,1,26,94,6,2,132,145,0.242,0.41,0.459,0.869,148,209,10,1,0,5,18
3,2B,Roberto Alomar#,21,158,702,623,82,184,27,1,7,56,42,17,53,76,0.295,0.347,0.376,0.723,107,234,10,1,17,8,4
4,SS,Garry Templeton#,33,142,536,506,43,129,26,3,6,40,1,3,23,80,0.255,0.286,0.354,0.639,82,179,15,0,4,3,12
5,3B,Luis Salazar,33,95,265,246,27,66,7,2,8,22,1,3,11,44,0.268,0.302,0.411,0.713,102,101,4,1,7,0,3
6,LF,Carmelo Martinez,28,111,301,267,23,59,12,2,6,39,0,0,32,54,0.221,0.302,0.348,0.651,85,93,12,0,0,2,3
7,CF,Tony Gwynn*,29,158,679,604,82,203,27,7,4,62,40,16,56,30,0.336,0.389,0.424,0.813,132,256,12,1,11,7,16
8,RF,Chris James,26,87,331,303,41,80,13,2,11,46,2,1,22,45,0.264,0.314,0.429,0.743,110,130,11,1,3,2,2
9,UT,Bip Roberts#,25,117,387,329,81,99,15,8,3,25,21,11,49,45,0.301,0.391,0.422,0.814,133,139,3,1,6,2,0
10,OF,Marvell Wynne*,29,105,314,294,19,74,11,1,6,35,4,1,12,41,0.252,0.282,0.357,0.64,82,105,3,1,6,1,1
11,3B,Mike Pagliarulo*,29,50,168,148,12,29,7,0,3,14,2,0,18,39,0.196,0.287,0.304,0.591,69,45,3,1,1,0,4
12,C,Mark Parent,27,52,154,141,12,27,4,0,7,21,1,0,8,34,0.191,0.229,0.369,0.598,68,52,5,0,1,4,2
13,3B,Tim Flannery*,31,73,145,130,9,30,5,0,0,8,2,0,13,20,0.231,0.299,0.269,0.568,63,35,2,0,1,1,0
14,OF,Shawn Abner,23,57,108,102,13,18,4,0,2,14,1,0,5,20,0.176,0.213,0.275,0.487,38,28,1,0,0,1,2
15,1B,Rob Nelson*,25,42,102,82,6,16,0,1,3,7,1,3,20,29,0.195,0.353,0.329,0.682,96,27,2,0,0,0,1
16,CF,Darrin Jackson,25,25,96,87,10,18,3,0,3,12,0,2,7,17,0.207,0.26,0.345,0.605,72,30,1,0,0,2,4
17,RF,John Kruk*,28,31,94,76,7,14,0,0,3,6,0,0,17,14,0.184,0.333,0.303,0.636,83,23,5,0,1,0,0
18,3B,Randy Ready,29,28,80,67,4,17,2,1,0,5,0,0,11,6,0.254,0.354,0.313,0.668,92,21,2,0,1,1,0
19,OF,Jerald Clark,25,17,44,41,5,8,2,0,1,7,0,1,3,9,0.195,0.25,0.317,0.567,61,13,0,0,0,0,0
20,SS,Gary Green,27,15,28,27,4,7,3,0,0,0,0,1,1,1,0.259,0.286,0.37,0.656,86,10,0,0,0,0,0
21,1B,Phil Stephenson*,28,10,22,17,4,6,0,0,2,2,0,0,3,2,0.353,0.45,0.706,1.156,225,12,0,0,2,0,0
22,C,Sandy Alomar,23,7,22,19,1,4,1,0,1,6,0,0,3,3,0.211,0.318,0.421,0.739,110,8,1,0,0,0,1
23,SS,Joey Cora#,24,12,20,19,5,6,1,0,0,1,1,0,1,0,0.316,0.35,0.368,0.718,106,7,0,0,0,0,0
24,P,Bruce Hurst*,31,33,87,70,4,5,0,0,0,0,0,0,9,47,0.071,0.177,0.071,0.249,-26,5,1,0,8,0,0
25,P,Ed Whitson,34,36,84,72,4,10,4,0,0,4,0,0,5,19,0.139,0.195,0.194,0.389,12,14,1,0,7,0,0
26,P,Dennis Rasmussen*,30,33,69,65,1,11,3,0,0,2,0,0,1,20,0.169,0.182,0.215,0.397,13,14,1,0,3,0,0
