Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Nick Hundley,25,78,289,256,23,61,15,2,8,30,5,1,28,76,0.238,0.313,0.406,0.719,97,104,2,1,1,3,1
2,1B,Adrian Gonzalez*,27,160,681,552,90,153,27,2,40,99,1,1,119,109,0.277,0.407,0.551,0.958,162,304,23,5,1,4,22
3,2B,David Eckstein,34,136,568,503,64,131,27,2,2,51,3,1,39,46,0.26,0.323,0.334,0.657,82,168,8,9,13,4,1
4,SS,Everth Cabrera#,22,103,438,377,59,96,18,8,2,31,25,8,46,88,0.255,0.342,0.361,0.703,95,136,3,5,8,2,5
5,3B,Kevin Kouzmanoff,27,141,573,529,50,135,31,1,18,88,1,0,27,106,0.255,0.302,0.42,0.722,97,222,25,11,0,6,3
6,LF,Chase Headley#,25,156,612,543,62,142,31,2,12,64,10,2,62,133,0.262,0.342,0.392,0.734,102,213,19,5,0,2,3
7,CF,Tony Gwynn*,26,119,451,393,59,106,11,6,2,21,11,7,48,65,0.27,0.35,0.344,0.693,93,135,2,2,5,3,2
8,RF,Brian Giles*,38,61,254,225,18,43,10,1,2,23,1,0,26,31,0.191,0.277,0.271,0.548,52,61,6,1,0,1,2
9,RF,Will Venable*,26,95,324,293,38,75,14,2,12,38,6,1,25,89,0.256,0.323,0.44,0.763,109,129,6,4,2,0,2
10,MI,Luis Rodriguez#,29,93,251,208,18,42,6,0,2,16,1,0,37,23,0.202,0.319,0.26,0.578,62,54,5,0,3,3,4
11,C,Henry Blanco,37,67,232,204,21,48,12,0,6,16,0,0,26,50,0.235,0.32,0.382,0.703,94,78,5,0,1,1,2
12,CF,Scott Hairston,29,56,216,197,26,59,14,1,10,29,8,1,17,45,0.299,0.358,0.533,0.891,143,105,4,1,1,0,0
13,OF,Kyle Blanks,22,54,172,148,24,37,9,0,10,22,1,1,18,55,0.25,0.355,0.514,0.868,137,76,4,6,0,0,1
14,UT,Edgar Gonzalez,31,82,169,153,16,33,8,2,4,18,1,2,11,36,0.216,0.278,0.373,0.651,78,57,5,3,0,2,0
15,CF,Jody Gerut*,31,37,121,113,17,25,6,0,4,14,2,0,5,22,0.221,0.248,0.381,0.628,71,43,2,0,0,3,1
16,UT,Oscar Salazar,31,55,121,108,12,29,8,2,3,19,0,0,12,16,0.269,0.339,0.463,0.802,119,50,6,0,0,1,1
17,C,Eliezer Alfonzo,30,37,117,114,6,20,3,0,2,8,0,0,3,34,0.175,0.197,0.254,0.451,24,29,0,0,0,0,0
18,OF,Drew Macias*,26,51,90,76,8,15,6,0,1,7,0,1,13,15,0.197,0.322,0.316,0.638,78,24,2,1,0,0,1
19,SS,Chris Burke,29,32,89,82,8,17,5,0,1,5,4,1,6,16,0.207,0.27,0.305,0.575,59,25,1,1,0,0,0
20,SS,Josh Wilson,28,16,43,38,2,4,2,0,0,1,0,0,3,9,0.105,0.19,0.158,0.348,-2,6,0,1,1,0,1
21,DH,Cliff Floyd*,36,10,17,16,0,2,0,0,0,0,0,0,1,7,0.125,0.176,0.125,0.301,-15,2,0,0,0,0,0
22,C,Jose Lobaton#,24,7,17,17,0,3,0,0,0,0,0,0,0,5,0.176,0.176,0.176,0.353,-2,3,1,0,0,0,0
23,OF,Luis Durango#,23,9,14,11,3,6,0,0,0,0,2,1,2,2,0.545,0.615,0.545,1.161,225,6,0,0,1,0,0
24,,Craig Stansberry,27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
