Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Benito Santiago,27,106,411,386,37,97,21,0,10,42,2,5,21,52,0.251,0.287,0.383,0.671,87,148,14,0,0,4,1
2,1B,Fred McGriff*,28,152,632,531,79,152,30,4,35,104,8,6,96,108,0.286,0.394,0.556,0.95,165,295,14,1,0,4,23
3,2B,Kurt Stillwell#,27,114,416,379,35,86,15,3,2,24,4,1,26,58,0.227,0.274,0.298,0.572,61,113,6,1,4,6,9
4,SS,Tony Fernandez#,30,155,694,622,84,171,32,4,4,37,20,20,56,62,0.275,0.337,0.359,0.696,96,223,6,4,9,3,4
5,3B,Gary Sheffield,23,146,618,557,87,184,34,3,33,100,5,6,48,40,0.33,0.385,0.58,0.965,168,323,19,6,0,7,5
6,LF,Jerald Clark,28,146,526,496,45,120,22,6,12,58,3,0,22,97,0.242,0.278,0.383,0.661,85,190,7,4,1,3,3
7,CF,Darrin Jackson,28,155,628,587,72,146,23,5,17,70,14,3,26,106,0.249,0.283,0.392,0.675,88,230,21,4,6,5,4
8,RF,Tony Gwynn*,32,128,569,520,77,165,27,3,6,41,3,6,46,16,0.317,0.371,0.415,0.786,121,216,12,0,0,3,12
9,IF,Tim Teufel,33,101,279,246,23,55,10,0,6,25,2,1,31,45,0.224,0.312,0.337,0.649,83,83,7,1,0,1,3
10,C,Dan Walters,25,57,194,179,14,45,11,1,4,22,1,0,10,28,0.251,0.295,0.391,0.686,92,70,3,2,1,2,0
11,LF,Oscar Azocar*,27,99,182,168,15,32,6,0,0,8,1,0,9,12,0.19,0.23,0.226,0.457,29,38,3,0,4,1,1
12,LF,Kevin Ward,30,81,165,147,12,29,5,0,3,12,2,3,14,38,0.197,0.274,0.293,0.567,60,43,8,2,1,1,0
13,IF,Craig Shipley,29,52,108,105,7,26,6,0,0,7,1,1,2,21,0.248,0.262,0.305,0.566,59,32,2,0,1,0,1
