Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Terry Kennedy*,27,149,612,549,47,156,27,2,17,98,1,3,51,89,0.284,0.342,0.434,0.776,117,238,10,2,1,9,15
2,1B,Steve Garvey,34,100,425,388,76,114,22,0,14,59,4,1,29,39,0.294,0.344,0.459,0.802,124,178,16,3,0,5,11
3,2B,Juan Bonilla,27,152,617,556,55,132,17,4,4,45,3,0,50,40,0.237,0.301,0.304,0.605,71,169,19,3,3,5,11
4,SS,Garry Templeton#,27,126,490,460,39,121,20,2,3,40,16,6,21,57,0.263,0.294,0.335,0.629,77,154,16,0,7,2,7
5,3B,Luis Salazar,27,134,510,481,52,124,16,2,14,45,24,9,17,80,0.258,0.285,0.387,0.672,87,186,4,2,8,2,8
6,LF,Bobby Brown#,29,57,250,225,40,60,5,3,5,22,27,9,23,38,0.267,0.333,0.382,0.716,101,86,1,0,1,1,0
7,CF,Ruppert Jones*,28,133,372,335,42,78,12,3,12,49,11,11,35,58,0.233,0.305,0.394,0.699,96,132,8,0,2,0,4
8,RF,Sixto Lezcano,29,97,373,317,41,74,11,2,8,49,0,0,47,66,0.233,0.331,0.356,0.687,94,113,8,1,4,4,3
9,UT,Alan Wiggins#,25,144,585,503,83,139,20,2,0,22,66,13,65,43,0.276,0.36,0.324,0.684,94,163,3,1,16,0,3
10,OF,Tony Gwynn*,23,86,334,304,34,94,12,2,1,37,7,4,23,21,0.309,0.355,0.372,0.726,105,113,9,0,4,3,5
11,LF,Gene Richards*,29,95,252,233,37,64,11,3,3,22,14,5,17,17,0.275,0.325,0.386,0.712,100,90,8,1,0,1,1
12,3B,Tim Flannery*,25,92,245,214,24,50,7,3,3,19,2,2,20,23,0.234,0.309,0.336,0.645,82,72,4,5,2,4,8
13,1B,Kurt Bevacqua,36,74,177,156,17,38,7,0,2,24,0,3,18,33,0.244,0.32,0.327,0.647,83,51,3,0,2,1,1
14,CF,Kevin McReynolds,23,39,155,140,15,31,3,1,4,14,2,1,12,29,0.221,0.277,0.343,0.62,74,48,1,0,0,3,1
