Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Nick Hundley,29,114,408,373,35,87,19,0,13,44,1,0,26,98,0.233,0.29,0.389,0.679,94,145,7,5,1,3,5
2,1B,Yonder Alonso*,26,97,375,334,34,94,11,0,6,45,6,0,32,47,0.281,0.341,0.368,0.71,106,123,9,2,0,7,5
3,2B,Jedd Gyorko,24,125,525,486,62,121,26,0,23,63,1,1,33,123,0.249,0.301,0.444,0.745,113,216,14,4,0,2,1
4,SS,Everth Cabrera#,26,95,435,381,54,108,15,5,4,31,37,12,41,69,0.283,0.355,0.381,0.736,113,145,1,2,10,1,0
5,3B,Chase Headley#,29,141,600,520,59,130,35,2,13,50,8,4,67,142,0.25,0.347,0.4,0.747,116,208,9,11,0,2,7
6,LF,Carlos Quentin,30,82,320,276,42,76,21,0,13,44,0,0,31,55,0.275,0.363,0.493,0.855,145,136,7,9,0,4,0
7,CF,Alexi Amarista*,24,146,396,368,35,87,14,4,5,32,4,2,22,57,0.236,0.282,0.337,0.619,79,124,7,2,3,1,1
8,RF,Will Venable*,30,151,515,481,64,129,22,8,22,53,22,6,29,118,0.268,0.312,0.484,0.796,126,233,6,2,2,1,4
9,OF,Chris Denorfia,32,144,520,473,67,132,21,2,10,47,11,0,42,84,0.279,0.337,0.395,0.732,111,187,13,1,0,4,2
10,UT,Jesus Guzman,29,126,318,288,33,65,17,0,9,35,3,0,27,79,0.226,0.297,0.378,0.675,94,109,4,2,1,0,1
11,UT,Kyle Blanks,26,88,308,280,31,68,14,0,8,35,1,1,21,85,0.243,0.305,0.379,0.684,97,106,2,5,0,2,1
12,2B,Logan Forsythe,26,75,243,220,22,47,6,1,6,19,6,1,19,54,0.214,0.281,0.332,0.613,77,73,5,2,1,1,2
13,OF,Mark Kotsay*,37,104,171,155,8,30,2,0,1,12,0,2,13,25,0.194,0.253,0.226,0.479,40,35,1,0,1,2,0
14,SS,Ronny Cedeno,30,38,133,123,12,33,2,2,2,9,3,3,8,31,0.268,0.318,0.366,0.684,98,45,2,1,1,0,1
15,C,Yasmani Grandal#,24,28,108,88,13,19,8,0,1,9,0,0,18,18,0.216,0.352,0.341,0.693,102,30,1,1,0,1,2
16,1B,Tommy Medica,25,19,79,69,9,20,2,0,3,10,0,0,10,23,0.29,0.38,0.449,0.829,139,31,0,0,0,0,0
17,C,Rene Rivera,29,23,71,67,4,17,3,1,0,7,0,0,2,16,0.254,0.268,0.328,0.596,72,22,1,0,0,2,1
18,SS,Pedro Ciriaco,27,23,68,63,5,15,1,1,1,4,6,0,3,10,0.238,0.284,0.333,0.617,78,21,2,1,1,0,2
19,CF,Cameron Maybin,26,14,57,51,7,8,1,0,1,5,4,1,4,9,0.157,0.232,0.235,0.467,36,12,3,1,1,0,1
20,C,John Baker*,32,16,46,40,0,6,0,0,0,2,0,0,6,12,0.15,0.261,0.15,0.411,23,6,4,0,0,0,0
21,OF,Rey Fuentes*,22,23,36,33,4,5,0,0,0,1,3,0,3,16,0.152,0.222,0.152,0.374,11,5,0,0,0,0,0
22,LF,Jaff Decker*,23,13,31,26,3,4,0,0,1,2,0,1,3,4,0.154,0.233,0.269,0.503,45,7,0,0,1,1,0
23,C,Chris Robinson,29,8,12,12,1,2,0,0,1,3,0,0,0,3,0.167,0.167,0.417,0.583,62,5,0,0,0,0,0
24,3B,Cody Ransom,37,5,11,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-100,0,0,0,0,0,0
25,P,Eric Stults*,33,35,69,61,2,10,1,0,1,4,0,0,0,21,0.164,0.177,0.23,0.407,17,14,0,1,7,0,0
26,P,Andrew Cashner,26,33,60,53,7,13,1,0,1,3,2,0,1,25,0.245,0.259,0.321,0.58,67,17,0,0,6,0,0
27,P,Edinson Volquez,29,24,43,34,3,4,1,0,1,4,0,0,1,20,0.118,0.143,0.235,0.378,7,8,0,0,8,0,0
28,P,Jason Marquis*,34,20,43,42,0,5,1,0,0,2,0,0,0,12,0.119,0.119,0.143,0.262,-25,6,1,0,1,0,0
29,P,Tyson Ross,26,33,36,33,0,6,0,0,0,0,0,0,0,18,0.182,0.182,0.182,0.364,6,6,0,0,3,0,0
30,P,Ian Kennedy,28,10,20,16,1,2,1,0,0,0,0,0,3,9,0.125,0.263,0.188,0.451,33,3,0,0,1,0,0
31,P,Robbie Erlin,22,10,19,16,0,1,0,0,0,1,0,0,1,5,0.063,0.118,0.063,0.18,-46,1,0,0,2,0,0
32,P,Clayton Richard*,29,13,15,14,1,3,0,0,0,1,0,0,0,5,0.214,0.214,0.214,0.429,25,3,0,0,1,0,0
33,P,Burch Smith,23,8,10,9,0,1,0,0,0,0,0,0,1,2,0.111,0.2,0.111,0.311,-7,1,0,0,0,0,0
