Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Mike Piazza,37,126,439,399,39,113,19,1,22,68,0,0,34,66,0.283,0.342,0.501,0.843,122,200,13,3,0,3,2
2,1B,Adrian Gonzalez*,24,156,631,570,83,173,38,1,24,82,0,1,52,113,0.304,0.362,0.5,0.862,127,285,24,3,1,5,9
3,2B,Josh Barfield,23,150,578,539,72,151,32,3,13,58,21,5,30,81,0.28,0.318,0.423,0.741,96,228,8,2,2,5,7
4,SS,Khalil Greene,26,121,460,412,56,101,26,2,15,55,5,1,39,87,0.245,0.32,0.427,0.747,97,176,15,7,0,2,0
5,3B,Vinny Castilla,38,72,269,254,24,59,10,0,4,23,0,0,9,46,0.232,0.26,0.319,0.579,54,81,5,2,0,4,0
6,LF,Dave Roberts*,34,129,567,499,80,146,18,13,2,44,49,6,51,61,0.293,0.36,0.393,0.752,101,196,5,4,7,5,2
7,CF,Mike Cameron,33,141,634,552,88,148,34,9,22,83,25,9,71,142,0.268,0.355,0.482,0.837,121,266,8,6,0,5,2
8,RF,Brian Giles*,35,158,717,604,87,159,37,1,14,83,9,4,104,60,0.263,0.374,0.397,0.771,107,240,18,5,0,4,6
9,IF,Geoff Blum#,33,109,299,276,27,70,17,1,4,34,0,1,17,51,0.254,0.293,0.366,0.659,75,101,5,0,2,4,1
10,3B,Mark Bellhorn#,31,115,288,253,26,48,11,2,8,27,0,0,32,90,0.19,0.285,0.344,0.629,67,87,3,2,0,1,0
11,C,Josh Bard#,28,93,263,231,28,78,19,0,9,40,1,0,27,39,0.338,0.406,0.537,0.943,149,124,9,1,2,2,1
12,LF,Eric Young Sr.,39,56,147,128,19,26,5,0,3,13,8,2,13,16,0.203,0.281,0.313,0.593,59,40,6,2,1,3,1
13,IF,Todd Walker*,33,44,142,124,18,35,6,1,3,13,2,0,17,11,0.282,0.366,0.419,0.786,110,52,1,0,0,1,1
14,OF,Ben Johnson,25,58,135,120,19,30,5,2,4,12,3,0,14,36,0.25,0.333,0.425,0.758,101,51,3,1,0,0,2
15,C,Rob Bowen#,25,94,110,94,22,23,5,0,3,13,0,1,13,26,0.245,0.339,0.394,0.733,96,37,1,1,1,1,0
16,3B,Russell Branyan*,30,27,89,72,14,21,1,0,6,9,0,0,15,27,0.292,0.416,0.556,0.971,157,40,0,1,0,1,1
17,OF,Terrmel Sledge*,29,38,78,70,7,16,3,0,2,7,0,0,8,17,0.229,0.308,0.357,0.665,77,25,1,0,0,0,0
18,IF,Manny Alexander,35,22,39,34,2,6,1,1,0,4,0,1,2,5,0.176,0.216,0.265,0.481,28,9,0,0,2,1,2
19,C,Doug Mirabelli,35,14,26,22,1,4,1,0,0,0,0,0,4,5,0.182,0.308,0.227,0.535,47,5,0,0,0,0,0
20,RF,Paul McAnulty*,25,16,15,13,3,3,1,0,1,3,0,0,2,4,0.231,0.333,0.538,0.872,128,7,0,0,0,0,0
21,,Ryan Klesko*,35,6,6,4,0,3,1,0,0,2,0,0,2,0,0.75,0.833,1,1.833,388,4,0,0,0,0,0
22,LF,Jack Cust*,27,4,3,3,1,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,80,1,0,0,0,0,0
23,,Jon Knott,27,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
24,,Justin Leone,29,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
25,P,Jake Peavy,25,31,69,60,6,10,3,0,2,9,0,0,1,19,0.167,0.18,0.317,0.497,29,19,0,0,8,0,0
26,P,Woody Williams,39,26,62,54,3,11,1,0,0,4,0,0,2,13,0.204,0.232,0.222,0.454,23,12,0,0,6,0,0
27,P,Chris Young,27,29,62,54,2,7,2,1,0,4,0,0,0,26,0.13,0.13,0.204,0.333,-13,11,0,0,8,0,0
28,P,Clay Hensley,26,36,56,48,2,4,1,0,0,2,0,0,3,28,0.083,0.137,0.104,0.241,-34,5,0,0,5,0,0
29,P,Chan Ho Park,33,24,48,41,0,11,0,0,0,5,0,0,0,12,0.268,0.268,0.268,0.537,44,11,2,0,7,0,0
30,P,Mike Thompson,25,18,29,25,2,4,0,0,0,0,0,0,1,12,0.16,0.192,0.16,0.352,-4,4,0,0,3,0,0
31,P,David Wells*,43,5,8,5,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,8,1,0,0,3,0,0
32,P,Dewon Brazelton,26,9,4,4,0,1,1,0,0,1,0,0,0,2,0.25,0.25,0.5,0.75,94,2,0,0,0,0,0
33,P,Tim Stauffer,24,1,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,169,1,0,0,0,0,0
34,P,Shawn Estes,33,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,51,0,0,0,0,0,0
35,P,Brian Sweeney,32,35,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
36,P,Jon Adkins*,28,51,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
37,P,Alan Embree*,36,68,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
38,P,Cla Meredith,23,45,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0
39,P,Scott Cassidy,30,40,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
40,P,Scott Linebrink,29,69,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,439,1,0,0,0,0,0
41,P,Jim Brower,33,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Scott Williamson,30,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Trevor Hoffman,38,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Rudy Seanez,37,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Doug Brocail*,39,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Brian Sikorski,31,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,30.8,162,6287,5576,731,1465,298,38,161,698,123,31,564,1104,0.263,0.332,0.416,0.749,99,2322,127,40,59,47,37
,,Rank in 16 NL teams,,,,6,13,9,9,8,12,,4,5,6,8,10,9,14,11,,11,,16,,6,
,,Non-Pitcher Totals,30.9,162,5939,5277,716,1414,290,37,159,673,123,31,556,985,0.268,0.34,0.427,0.767,104,2255,125,40,18,47,37
,,Pitcher Totals,29.6,162,348,299,15,51,8,1,2,25,0,0,8,119,0.171,0.192,0.224,0.416,11,67,2,0,41,0,0
