Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Fred Kendall,23,91,289,273,18,59,3,4,6,18,0,0,11,42,0.216,0.247,0.322,0.569,67,88,5,1,1,3,3
2,1B,Nate Colbert,26,151,643,563,87,141,27,2,38,111,15,6,70,127,0.25,0.333,0.508,0.841,145,286,12,2,3,5,14
3,2B,Derrel Thomas#,21,130,550,500,48,115,15,5,5,36,9,9,41,73,0.23,0.29,0.31,0.6,77,155,6,2,6,1,1
4,SS,Enzo Hernandez,23,114,369,329,33,64,11,2,1,15,24,3,22,25,0.195,0.243,0.249,0.492,46,82,5,0,15,3,6
5,3B,Dave Roberts,21,100,443,418,38,102,17,0,5,33,7,2,18,64,0.244,0.275,0.321,0.595,75,134,5,0,6,1,1
6,LF,Leron Lee*,24,101,405,370,50,111,23,7,12,47,2,5,29,58,0.3,0.353,0.497,0.85,149,184,9,3,0,3,4
7,CF,Johnny Jeter,27,110,347,326,25,72,4,3,7,21,11,5,18,92,0.221,0.266,0.316,0.582,71,103,9,2,1,0,4
8,RF,Cito Gaston,28,111,403,379,30,102,14,0,7,44,0,2,22,76,0.269,0.313,0.361,0.674,99,137,13,2,0,0,2
9,OF,Jerry Morales,23,115,393,347,38,83,15,7,4,18,4,6,35,54,0.239,0.307,0.357,0.665,96,124,5,0,9,2,3
10,OF,Larry Stahl*,31,107,331,297,31,67,9,3,7,20,1,3,31,67,0.226,0.298,0.347,0.645,90,103,3,0,2,1,3
11,IF,Garry Jestadt,25,92,280,256,15,63,5,1,6,22,0,0,13,21,0.246,0.281,0.344,0.625,84,88,5,0,10,1,2
12,C,Pat Corrales,31,44,132,119,6,23,0,0,0,6,0,0,11,26,0.193,0.267,0.193,0.46,38,23,1,1,1,0,1
13,UT,Curt Blefary*,28,74,122,102,10,20,3,0,3,9,0,0,19,18,0.196,0.32,0.314,0.633,88,32,1,0,0,1,3
14,3B,Dave Campbell,30,33,113,100,6,24,5,0,0,3,0,4,11,12,0.24,0.315,0.29,0.605,80,29,2,0,2,0,2
15,MI,Fred Stanley,24,39,99,85,15,17,2,0,0,2,1,0,12,19,0.2,0.306,0.224,0.53,59,19,0,1,1,0,1
16,C,Bob Barton,30,29,92,88,1,17,1,0,0,9,2,0,2,19,0.193,0.209,0.205,0.413,23,18,3,0,1,1,0
17,RF,Ollie Brown,28,23,76,70,3,12,2,0,0,3,0,0,5,9,0.171,0.224,0.2,0.424,26,14,1,0,0,1,2
