Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Nick Hundley,27,82,308,281,34,81,16,5,9,29,1,1,22,74,0.288,0.347,0.477,0.824,132,134,3,4,0,1,3
2,1B,Jesus Guzman,27,76,271,247,33,77,22,2,5,44,9,2,22,43,0.312,0.369,0.478,0.847,139,118,6,1,0,1,2
3,2B,Orlando Hudson#,33,119,454,398,54,98,15,3,7,43,19,3,49,84,0.246,0.329,0.352,0.681,94,140,5,2,1,4,6
4,SS,Jason Bartlett,31,139,618,554,61,136,22,3,2,40,23,10,48,98,0.245,0.308,0.307,0.615,76,170,13,5,5,6,0
5,3B,Chase Headley#,27,113,439,381,43,110,28,1,4,44,13,2,52,92,0.289,0.374,0.399,0.773,120,152,6,2,1,3,8
6,LF,Ryan Ludwick,32,101,425,378,42,90,18,0,11,64,1,1,32,87,0.238,0.301,0.373,0.674,90,141,8,4,1,5,1
7,CF,Cameron Maybin,24,137,568,516,82,136,24,8,9,40,40,8,44,125,0.264,0.323,0.393,0.716,103,203,6,2,4,2,2
8,RF,Will Venable*,28,121,411,370,49,91,14,7,9,44,26,3,31,92,0.246,0.31,0.395,0.704,99,146,2,5,1,4,4
9,RF,Chris Denorfia,30,111,340,307,38,85,13,2,5,19,11,6,28,49,0.277,0.337,0.381,0.718,104,117,10,1,2,2,1
10,MI,Alberto Gonzalez,28,102,267,247,18,53,10,2,1,32,1,2,13,37,0.215,0.256,0.283,0.539,53,70,5,2,1,4,3
11,1B,Brad Hawpe*,32,62,216,195,19,45,10,0,4,19,0,0,19,68,0.231,0.301,0.344,0.645,83,67,7,1,0,1,2
12,C,Rob Johnson,28,67,199,179,9,34,6,1,3,16,3,0,14,58,0.19,0.259,0.285,0.544,55,51,3,3,2,1,1
13,LF,Kyle Blanks,24,55,190,170,21,39,7,1,7,26,2,0,16,51,0.229,0.3,0.406,0.706,99,69,3,2,0,2,0
14,IF,Logan Forsythe,24,62,169,150,12,32,9,1,0,12,3,1,12,33,0.213,0.281,0.287,0.568,62,43,3,3,2,2,3
15,1B,Jorge Cantu,29,57,155,144,8,28,4,0,3,16,0,0,7,28,0.194,0.232,0.285,0.517,46,41,6,1,0,3,1
16,1B,Anthony Rizzo*,21,49,153,128,9,18,8,1,1,9,2,1,21,46,0.141,0.281,0.242,0.523,51,31,2,4,0,0,1
