Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Austin Hedges,24,120,417,387,36,83,17,0,18,55,4,1,23,122,0.214,0.262,0.398,0.66,73,154,10,3,1,3,3
2,1B,Wil Myers,26,155,649,567,80,138,29,3,30,74,20,6,70,180,0.243,0.328,0.464,0.792,109,263,15,5,0,7,3
3,2B,Carlos Asuaje*,25,89,343,307,28,83,14,1,4,21,0,1,28,76,0.27,0.334,0.362,0.696,87,111,6,2,5,1,0
4,SS,Erick Aybar#,33,108,370,333,37,78,15,1,7,22,11,4,28,57,0.234,0.3,0.348,0.648,73,116,5,4,3,2,2
5,3B,Cory Spangenberg*,26,129,486,444,57,117,18,2,13,46,11,3,34,128,0.264,0.322,0.401,0.723,92,178,2,5,2,1,1
6,LF,Jose Pirela,27,83,344,312,43,90,25,4,10,40,4,3,27,71,0.288,0.347,0.49,0.837,121,153,8,2,1,2,0
7,CF,Manuel Margot,22,126,529,487,53,128,18,7,13,39,17,7,35,106,0.263,0.313,0.409,0.721,91,199,6,2,1,4,0
8,RF,Hunter Renfroe,25,122,479,445,51,103,25,1,26,58,3,0,27,140,0.231,0.284,0.467,0.751,96,208,4,6,0,1,1
9,IF,Yangervis Solarte#,29,128,512,466,49,119,21,0,18,64,3,0,37,61,0.255,0.314,0.416,0.731,94,194,18,5,0,4,4
10,UT,Allen Cordoba,21,100,227,202,17,42,2,2,4,15,2,2,18,54,0.208,0.282,0.297,0.579,56,60,2,4,0,3,1
11,OF,Matt Szczur,27,104,214,176,26,40,11,2,3,15,0,2,32,40,0.227,0.358,0.364,0.722,95,64,2,4,2,0,0
12,3B,Ryan Schimpf*,29,53,197,165,24,26,2,0,14,25,0,0,27,70,0.158,0.284,0.424,0.709,86,70,0,3,0,2,0
13,RF,Jabari Blash,27,61,195,164,24,35,6,0,5,16,1,2,28,66,0.213,0.333,0.341,0.675,82,56,5,2,0,1,0
14,C,Hector Sanchez#,27,75,143,137,14,30,4,0,8,25,0,0,5,41,0.219,0.245,0.423,0.668,74,58,4,0,0,1,1
