Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Yorvit Torrealba,31,95,363,325,31,88,14,0,7,37,7,5,33,67,0.271,0.343,0.378,0.721,103,123,12,3,1,1,2
2,1B,Adrian Gonzalez*,28,160,693,591,87,176,33,0,31,101,0,0,93,114,0.298,0.393,0.511,0.904,152,302,15,2,2,4,35
3,2B,David Eckstein,35,116,492,442,49,118,23,0,1,29,8,1,27,35,0.267,0.321,0.326,0.647,83,144,6,9,12,2,0
4,SS,Miguel Tejada,36,59,253,235,31,63,10,0,8,32,2,0,15,28,0.268,0.317,0.413,0.73,104,97,3,2,1,0,0
5,3B,Chase Headley#,26,161,674,610,77,161,29,3,11,58,17,5,56,139,0.264,0.327,0.375,0.702,97,229,11,3,1,4,3
6,LF,Scott Hairston,30,104,336,295,34,62,10,0,10,36,6,1,31,69,0.21,0.295,0.346,0.64,80,102,3,6,0,4,1
7,CF,Tony Gwynn*,27,117,339,289,30,59,9,3,3,20,17,4,41,50,0.204,0.304,0.287,0.591,68,83,3,1,7,1,4
8,RF,Will Venable*,27,131,445,392,60,96,11,7,13,51,29,7,45,128,0.245,0.324,0.408,0.732,104,160,3,3,0,5,8
9,MI,Jerry Hairston,34,119,476,430,53,105,13,2,10,50,9,6,31,54,0.244,0.299,0.353,0.652,83,152,5,5,4,6,2
10,OF,Chris Denorfia,29,99,317,284,41,77,15,2,9,36,8,4,27,51,0.271,0.335,0.433,0.769,114,123,5,2,1,3,3
11,C,Nick Hundley,26,85,307,273,33,68,18,2,8,43,0,5,25,66,0.249,0.308,0.418,0.726,102,114,8,1,2,6,0
12,SS,Everth Cabrera#,23,76,241,212,22,44,6,3,1,22,10,6,19,54,0.208,0.279,0.278,0.557,58,59,8,2,8,0,3
13,RF,Ryan Ludwick,31,59,239,209,19,44,7,0,6,26,0,1,24,57,0.211,0.301,0.33,0.631,78,69,9,4,0,2,0
14,UT,Oscar Salazar,32,85,148,131,19,31,4,0,3,19,1,2,16,23,0.237,0.318,0.336,0.653,84,44,4,0,0,1,1
15,OF,Aaron Cunningham,24,53,147,132,17,38,12,1,1,15,1,3,7,28,0.288,0.331,0.417,0.748,109,55,3,3,2,3,1
16,LF,Kyle Blanks,23,33,120,102,14,16,6,1,3,15,1,0,15,46,0.157,0.283,0.324,0.607,70,33,1,3,0,0,0
17,UT,Matt Stairs*,42,78,111,99,14,23,6,0,6,16,2,0,11,32,0.232,0.306,0.475,0.781,116,47,1,0,0,1,2
18,CF,Luis Durango#,24,28,53,48,8,12,0,0,0,4,5,0,4,7,0.25,0.308,0.25,0.558,59,12,3,0,1,0,0
19,IF,Lance Zawadzki#,25,20,42,35,4,7,2,0,0,1,1,0,5,7,0.2,0.3,0.257,0.557,59,9,1,0,2,0,2
20,1B,Mike Baxter*,25,9,9,8,0,1,0,0,0,1,0,0,0,2,0.125,0.111,0.125,0.236,-34,1,1,0,0,1,0
21,UT,Chris Stewart,28,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
