Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Chris Cannizzaro,31,134,469,418,23,92,14,3,4,33,0,1,42,81,0.22,0.29,0.297,0.587,68,124,16,0,7,2,8
2,1B,Nate Colbert,23,139,532,483,64,123,20,9,24,66,6,4,45,123,0.255,0.322,0.482,0.804,127,233,13,3,1,0,7
3,2B,Jose Arcia,25,120,321,302,35,65,11,3,0,10,14,7,14,47,0.215,0.255,0.272,0.526,50,82,7,2,3,0,0
4,SS,Tommy Dean,23,101,308,273,14,48,9,2,2,9,0,3,27,54,0.176,0.251,0.245,0.496,42,67,4,1,5,2,4
5,3B,Ed Spiezio,27,121,400,355,29,83,9,0,13,43,1,2,38,64,0.234,0.313,0.369,0.682,94,131,8,4,1,2,3
6,LF,Al Ferrara,29,138,421,366,39,95,22,1,14,56,0,0,45,69,0.26,0.349,0.44,0.789,124,161,7,7,0,3,5
7,CF,Cito Gaston,25,129,419,391,20,90,11,7,2,28,4,4,24,117,0.23,0.275,0.309,0.585,67,121,10,1,1,2,0
8,RF,Ollie Brown,25,151,621,568,76,150,18,3,20,61,10,6,44,97,0.264,0.319,0.412,0.731,108,234,12,3,4,2,3
9,IF,Roberto Pena,32,139,501,472,44,118,16,3,4,30,0,3,21,63,0.25,0.286,0.322,0.608,73,152,10,3,4,1,0
10,CF,Ivan Murrell,26,111,262,247,19,63,10,6,3,25,3,4,11,65,0.255,0.291,0.381,0.672,91,94,4,2,1,1,1
11,2B,John Sipin,22,68,241,229,22,51,12,2,2,9,2,0,8,44,0.223,0.251,0.319,0.57,62,73,3,1,2,1,1
12,3B,Van Kelly*,23,73,222,209,16,51,7,1,3,15,0,1,12,24,0.244,0.285,0.33,0.615,75,69,2,0,1,0,2
13,LF,Tony Gonzalez*,32,53,204,182,17,41,4,0,2,8,1,0,19,24,0.225,0.309,0.28,0.589,69,51,6,3,0,0,2
14,LF,Larry Stahl*,28,95,182,162,10,32,6,2,3,10,3,3,17,31,0.198,0.278,0.315,0.593,69,51,5,1,2,0,3
15,C,Walt Hriniak*,26,31,76,66,4,15,0,0,0,1,0,0,8,11,0.227,0.329,0.227,0.556,62,15,2,2,0,0,1
16,1B,Bill Davis*,27,31,66,57,1,10,1,0,0,1,0,0,8,18,0.175,0.288,0.193,0.481,40,11,2,1,0,0,0
17,MI,Jerry DaVanon,23,24,62,59,4,8,1,0,0,3,0,3,3,12,0.136,0.177,0.153,0.33,-5,9,2,0,0,0,0
18,OF,Jerry Morales,20,19,46,41,5,8,2,0,1,6,0,2,5,7,0.195,0.283,0.317,0.6,71,13,1,0,0,0,0
19,OF,Jim Williams,22,13,29,25,4,7,1,0,0,2,0,0,3,11,0.28,0.345,0.32,0.665,91,8,0,0,0,1,0
20,C,Fred Kendall,20,10,28,26,2,4,0,0,0,0,0,0,2,5,0.154,0.214,0.154,0.368,7,4,2,0,0,0,0
21,IF,Ron Slocum,23,13,25,24,6,7,1,0,1,5,0,0,0,5,0.292,0.28,0.458,0.738,108,11,0,0,0,1,0
