Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Tom Lampkin*,38,104,327,281,32,61,10,1,10,37,4,2,38,59,0.217,0.313,0.367,0.679,87,103,4,3,1,4,7
2,1B,Ryan Klesko*,31,146,625,540,90,162,39,1,29,95,6,2,76,86,0.3,0.388,0.537,0.925,152,290,7,4,1,4,11
3,2B,Ramon Vazquez*,25,128,474,423,50,116,21,5,2,32,7,2,45,79,0.274,0.344,0.362,0.706,95,153,6,1,3,2,3
4,SS,Deivi Cruz,29,151,547,514,49,135,28,2,7,47,2,3,22,58,0.263,0.294,0.366,0.66,81,188,20,3,3,5,2
5,3B,Phil Nevin,31,107,450,407,53,116,16,0,12,57,4,0,38,87,0.285,0.344,0.413,0.757,108,168,12,1,0,4,4
6,LF,Ron Gant,37,102,353,309,58,81,14,1,18,59,4,6,36,59,0.262,0.338,0.489,0.827,125,151,8,2,1,5,1
7,CF,Mark Kotsay*,26,153,646,578,82,169,27,7,17,61,11,9,59,89,0.292,0.359,0.452,0.81,122,261,10,3,2,4,0
8,RF,Bubba Trammell,30,133,465,403,54,98,16,1,17,56,1,3,53,71,0.243,0.333,0.414,0.748,105,167,6,3,3,3,2
9,IF,D'Angelo Jimenez#,24,87,357,321,39,77,11,4,3,33,4,2,34,63,0.24,0.311,0.327,0.638,76,105,10,0,0,2,1
10,OF,Gene Kingsale#,25,89,243,216,27,60,10,3,2,28,9,2,20,47,0.278,0.346,0.38,0.725,100,82,5,3,3,1,0
11,LF,Ray Lankford*,35,81,240,205,20,46,7,1,6,26,2,2,30,61,0.224,0.326,0.356,0.682,88,73,3,2,1,2,3
12,3B,Sean Burroughs*,21,63,206,192,18,52,5,1,1,11,2,0,12,30,0.271,0.317,0.323,0.64,77,62,6,1,1,0,1
13,2B,Julius Matos,27,76,200,185,19,44,3,0,2,19,1,1,9,33,0.238,0.279,0.286,0.566,57,53,5,2,3,1,0
14,C,Wiki Gonzalez,28,56,194,164,16,36,8,1,1,20,0,0,27,24,0.22,0.33,0.299,0.629,75,49,10,1,0,2,3
15,UT,Trent Hubbard,38,89,144,129,16,27,5,0,1,7,9,6,14,28,0.209,0.285,0.271,0.556,55,35,3,0,0,1,0
16,UT,Brian Buchanan,28,48,102,92,12,27,5,0,6,13,0,1,9,26,0.293,0.363,0.543,0.906,146,50,2,1,0,0,0
17,C,Wil Nieves,24,28,76,72,2,13,3,1,0,3,1,0,4,15,0.181,0.224,0.25,0.474,31,18,1,0,0,0,4
18,UT,Mark Sweeney*,32,48,69,65,3,11,3,0,1,4,0,0,4,19,0.169,0.217,0.262,0.479,32,17,1,0,0,0,0
19,C,Javier Cardona,26,15,42,39,2,4,1,0,0,2,0,0,2,10,0.103,0.143,0.128,0.271,-24,5,1,0,0,1,0
20,UT,Cesar Crespo#,23,25,33,29,5,5,2,0,0,0,3,2,3,6,0.172,0.25,0.241,0.491,37,7,0,0,1,0,0
21,1B,Kevin Barker*,26,7,20,19,0,3,0,0,0,0,1,0,1,6,0.158,0.2,0.158,0.358,1,3,1,0,0,0,0
22,OF,Kory DeHaan*,25,12,11,11,1,1,0,0,0,0,0,0,0,6,0.091,0.091,0.091,0.182,-50,1,0,0,0,0,0
23,IF,Alex Pelaez,26,3,8,8,0,2,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,39,2,2,0,0,0,0
24,P,Brett Tomko,29,30,74,66,2,12,2,0,0,6,0,0,1,20,0.182,0.194,0.212,0.406,12,14,2,0,7,0,0
25,P,Brian Lawrence,26,32,71,63,1,6,2,0,0,6,0,0,5,14,0.095,0.162,0.127,0.289,-19,8,2,0,3,0,0
26,P,Jake Peavy,21,16,35,33,4,7,3,0,0,2,0,1,0,13,0.212,0.212,0.303,0.515,40,10,0,0,2,0,0
27,P,Bobby Jones,32,18,34,33,2,5,0,0,0,2,0,0,0,11,0.152,0.152,0.152,0.303,-16,5,1,0,1,0,0
28,P,Oliver Perez*,20,16,33,30,1,4,0,0,0,0,0,0,0,11,0.133,0.133,0.133,0.267,-26,4,0,0,3,0,0
29,P,Brian Tollberg,29,12,22,19,0,3,1,0,0,0,0,0,2,5,0.158,0.238,0.211,0.449,25,4,2,0,1,0,0
30,P,Dennis Tankersley,23,16,13,13,2,4,1,0,1,1,0,0,0,2,0.308,0.308,0.615,0.923,147,8,1,0,0,0,0
31,P,Kevin Jarvis*,32,7,12,9,0,3,0,0,0,0,0,0,2,3,0.333,0.455,0.333,0.788,122,3,0,0,1,0,0
32,P,Adam Eaton,24,6,10,9,0,1,0,0,0,0,0,0,1,4,0.111,0.2,0.111,0.311,-11,1,1,0,0,0,0
33,P,Mike Bynum*,24,14,8,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
34,P,Jason Middlebrook,27,10,7,6,2,2,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,85,2,0,0,1,0,0
35,P,Clay Condrey,26,9,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
36,P,Kevin Pickford*,27,15,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
37,P,Ben Howard,23,3,5,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,1,0,0
38,P,Bobby Jones,30,4,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,1,0,0
39,P,Mike Holtz*,29,33,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
40,P,Jeremy Fikac,27,61,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
41,P,Eric Cyr,23,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
42,P,Rodney Myers,33,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
43,P,Jason Kershner*,25,15,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0
44,P,Steve Reed,37,37,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
45,P,Trevor Hoffman,34,58,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Jason Shiell,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Jason Pearson*,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Matt DeWitt,24,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Brandon Villafuerte,26,31,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Juan Moreno*,27,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,J.J. Trujillo,26,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
