Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Carlos Hernandez,31,129,417,390,34,102,15,0,9,52,2,2,16,54,0.262,0.305,0.369,0.674,83,144,19,9,0,2,2
2,1B,Wally Joyner*,36,131,494,439,58,131,30,1,12,80,1,2,51,44,0.298,0.37,0.453,0.824,124,199,11,1,0,3,8
3,2B,Quilvio Veras#,27,138,612,517,79,138,24,2,6,45,24,9,84,78,0.267,0.373,0.356,0.729,101,184,6,6,1,4,2
4,SS,Chris Gomez,27,145,516,449,55,120,32,3,4,39,1,3,51,87,0.267,0.346,0.379,0.725,98,170,11,5,7,3,7
5,3B,Ken Caminiti#,35,131,536,452,87,114,29,0,29,82,6,2,71,108,0.252,0.353,0.509,0.862,132,230,6,4,0,8,4
6,LF,Greg Vaughn,32,158,661,573,112,156,28,4,50,119,11,4,79,121,0.272,0.363,0.597,0.96,156,342,7,5,0,4,6
7,CF,Steve Finley*,33,159,674,619,92,154,40,6,14,67,12,3,45,103,0.249,0.301,0.401,0.702,90,248,9,3,3,4,0
8,RF,Tony Gwynn*,38,127,505,461,65,148,35,0,16,69,3,1,35,18,0.321,0.364,0.501,0.865,133,231,14,1,0,8,6
9,UT,Mark Sweeney*,28,122,222,192,17,45,8,3,2,15,1,2,26,37,0.234,0.324,0.339,0.663,82,65,5,1,0,3,0
10,MI,Andy Sheets,26,88,219,194,31,47,5,3,7,29,7,2,21,62,0.242,0.318,0.407,0.725,96,79,4,1,2,1,3
11,RF,Ruben Rivera,24,95,204,172,31,36,7,2,6,29,5,1,28,52,0.209,0.325,0.378,0.703,91,65,1,2,1,1,0
12,C,Greg Myers*,32,69,189,171,19,42,10,0,4,20,0,1,17,36,0.246,0.312,0.374,0.686,87,64,6,0,0,1,1
13,UT,Jim Leyritz,34,62,172,143,17,38,10,0,4,18,0,0,21,40,0.266,0.384,0.42,0.803,119,60,2,7,0,1,0
14,IF,Ed Giovanola*,29,92,166,139,19,32,3,3,1,9,1,2,22,22,0.23,0.335,0.317,0.652,80,44,2,0,5,0,0
15,CI,Archi Cianfrocco,31,40,80,72,4,9,3,0,1,5,1,0,5,22,0.125,0.192,0.208,0.401,9,15,3,1,2,0,0
16,OF,James Mouton,29,55,71,63,8,12,2,1,0,7,4,3,7,11,0.19,0.268,0.254,0.522,44,16,3,0,0,1,1
17,CI,George Arias,26,20,41,36,4,7,1,1,1,4,0,0,3,16,0.194,0.293,0.361,0.654,77,13,0,2,0,0,0
18,UT,John Vander Wal*,32,20,31,25,3,6,3,0,0,0,0,0,6,5,0.24,0.387,0.36,0.747,106,9,1,0,0,0,0
19,1B,Eddie Williams,33,17,31,28,1,4,0,0,0,3,0,0,2,6,0.143,0.194,0.143,0.336,-6,4,1,0,0,1,0
20,C,Mandy Romero#,30,6,10,9,1,0,0,0,0,0,0,0,1,3,0,0.1,0,0.1,-70,0,0,0,0,0,0
21,C,Ben Davis#,21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
22,P,Kevin Brown,33,34,93,82,4,17,3,0,0,10,0,0,4,29,0.207,0.244,0.244,0.488,34,20,0,0,7,0,0
23,P,Andy Ashby,30,32,83,72,1,8,2,0,0,2,0,0,2,35,0.111,0.135,0.139,0.274,-25,10,0,0,9,0,0
24,P,Joey Hamilton,27,34,74,71,1,10,0,1,1,6,0,0,1,31,0.141,0.153,0.211,0.364,-2,15,0,0,2,0,0
25,P,Sterling Hitchcock*,27,36,56,50,5,7,0,0,0,2,0,0,1,21,0.14,0.157,0.14,0.297,-18,7,0,0,5,0,0
26,P,Mark Langston,37,22,30,24,0,2,1,0,0,2,0,0,2,9,0.083,0.154,0.125,0.279,-23,3,0,0,4,0,0
27,P,Pete Smith,32,11,17,14,1,1,0,0,0,1,0,0,2,6,0.071,0.188,0.071,0.259,-25,1,0,0,1,0,0
28,P,Stan Spencer,28,6,12,9,0,1,1,0,0,0,0,0,0,4,0.111,0.111,0.222,0.333,-12,2,1,0,3,0,0
29,P,Brian Boehringer#,29,53,8,7,0,0,0,0,0,0,0,0,1,4,0,0.125,0,0.125,-62,0,0,0,0,0,0
30,P,Donne Wall,30,42,7,7,0,2,0,0,0,0,0,0,0,3,0.286,0.286,0.286,0.571,57,2,0,0,0,0,0
31,P,Matt Clement,23,4,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,2,0,0
32,P,Trevor Hoffman,30,63,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
33,P,Don Wengert,28,10,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
34,P,Scott Sanders,29,23,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0
35,P,Carlos Reyes,29,21,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0
36,P,Dan Miceli,27,63,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,449,1,0,0,0,0,0
37,P,Randy Myers*,35,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Will Cunnane,24,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Roberto Ramirez*,26,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
