Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Austin Hedges,25,91,326,303,29,70,14,2,14,37,3,0,21,90,0.231,0.282,0.429,0.711,95,130,9,1,0,1,3
2,1B,Eric Hosmer*,28,157,677,613,72,155,31,2,18,69,7,4,62,142,0.253,0.322,0.398,0.72,100,244,18,1,0,1,10
3,2B,Jose Pirela,28,146,473,438,54,109,23,2,5,32,6,3,30,89,0.249,0.3,0.345,0.645,80,151,10,3,0,2,1
4,SS,Freddy Galvis#,28,162,656,602,62,149,31,5,13,67,8,6,45,147,0.248,0.299,0.38,0.68,88,229,8,2,1,6,2
5,3B,Christian Villanueva,27,110,384,351,42,83,15,0,20,46,3,0,23,104,0.236,0.299,0.45,0.75,106,158,12,9,0,1,0
6,LF,Hunter Renfroe,26,117,441,403,53,100,23,1,26,68,2,1,30,109,0.248,0.302,0.504,0.805,120,203,9,3,0,5,2
7,CF,Manuel Margot,23,141,519,477,50,117,26,8,8,51,11,10,32,88,0.245,0.292,0.384,0.675,87,183,9,2,1,7,4
8,RF,Franmil Reyes,22,87,285,261,36,73,9,0,16,31,0,0,24,80,0.28,0.34,0.498,0.838,131,130,5,0,0,0,0
9,OF,Travis Jankowski*,27,117,387,347,45,90,12,3,4,17,24,7,37,73,0.259,0.332,0.346,0.678,90,120,7,1,2,0,0
10,UT,Wil Myers,27,83,343,312,39,79,25,1,11,39,13,1,30,94,0.253,0.318,0.446,0.763,110,139,10,0,0,1,1
11,IF,Cory Spangenberg*,27,116,329,298,35,70,9,4,7,25,6,1,25,108,0.235,0.298,0.362,0.661,84,108,6,2,4,0,0
12,2B,Carlos Asuaje*,26,79,218,189,15,37,8,1,2,19,1,1,24,46,0.196,0.286,0.28,0.566,59,53,5,1,1,3,1
13,C,A.J. Ellis,37,66,183,151,19,41,8,0,1,15,0,0,26,37,0.272,0.378,0.344,0.722,104,52,2,1,3,2,1
14,LF,Franchy Cordero*,23,40,154,139,19,33,5,1,7,19,5,2,14,55,0.237,0.307,0.439,0.746,105,61,1,0,1,0,0
15,C,Rafael Lopez*,30,37,117,102,11,18,2,0,3,13,1,0,13,43,0.176,0.265,0.284,0.549,54,29,1,0,0,2,3
16,OF,Matt Szczur,28,57,84,75,11,14,3,0,1,6,3,0,8,24,0.187,0.265,0.267,0.532,50,20,2,0,1,0,0
17,CI,Chase Headley#,34,27,60,52,2,6,1,0,0,4,0,0,6,20,0.115,0.233,0.135,0.368,7,7,3,2,0,0,0
18,C,Francisco Mejia#,22,20,58,54,6,10,2,0,3,8,0,0,3,19,0.185,0.241,0.389,0.63,72,21,2,1,0,0,0
19,2B,Luis Urias,21,12,53,48,5,10,1,0,2,5,1,0,3,10,0.208,0.264,0.354,0.618,71,17,0,1,0,1,0
20,SS,Javy Guerra*,22,13,19,16,2,2,0,0,0,1,0,0,3,9,0.125,0.263,0.125,0.388,14,2,0,0,0,0,0
21,P,Clayton Richard*,34,26,51,42,3,4,1,0,1,3,0,0,2,24,0.095,0.156,0.19,0.346,-4,8,0,1,6,0,0
22,P,Tyson Ross,31,23,42,38,1,6,0,0,0,3,1,0,1,16,0.158,0.175,0.158,0.333,-6,6,1,0,2,1,0
23,P,Joey Lucchesi*,25,24,39,34,2,2,0,0,0,1,0,0,4,21,0.059,0.154,0.059,0.213,-37,2,0,0,0,1,0
24,P,Eric Lauer,23,23,37,30,1,2,1,0,0,1,0,0,1,15,0.067,0.094,0.1,0.194,-46,3,0,0,5,1,0
25,P,Robbie Erlin,27,38,27,23,1,5,0,0,0,0,0,0,1,11,0.217,0.25,0.217,0.467,33,5,0,0,3,0,0
26,P,Bryan Mitchell*,27,14,19,18,0,2,0,0,0,0,0,0,0,10,0.111,0.111,0.111,0.222,-37,2,0,0,1,0,0
27,P,Jordan Lyles,27,25,17,13,2,0,0,0,0,1,0,0,2,7,0,0.133,0,0.133,-58,0,1,0,2,0,0
28,P,Jacob Nix,22,9,16,15,0,0,0,0,0,0,0,0,0,11,0,0,0,0,-100,0,0,0,1,0,0
