Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,John Flaherty,28,72,279,264,22,80,12,0,9,41,2,3,9,36,0.303,0.327,0.451,0.778,109,119,8,2,1,3,1
2,1B,Wally Joyner*,34,121,510,433,59,120,29,1,8,65,5,3,69,71,0.277,0.377,0.404,0.781,112,175,6,3,1,4,8
3,2B,Jody Reed,33,146,568,495,45,121,20,0,2,49,2,5,59,53,0.244,0.325,0.297,0.622,71,147,15,3,5,6,8
4,SS,Chris Gomez,25,89,378,328,32,86,16,1,3,29,2,2,39,64,0.262,0.349,0.345,0.694,89,113,11,6,3,2,1
5,3B,Ken Caminiti#,33,146,639,546,109,178,37,2,40,130,11,5,78,99,0.326,0.408,0.621,1.028,174,339,15,4,0,10,16
6,LF,Rickey Henderson,37,148,602,465,110,112,17,2,9,29,37,15,125,90,0.241,0.41,0.344,0.754,108,160,5,10,0,2,2
7,CF,Steve Finley*,31,161,721,655,126,195,45,9,30,95,22,8,56,87,0.298,0.354,0.531,0.885,136,348,20,4,1,5,5
8,RF,Tony Gwynn*,36,116,498,451,67,159,27,2,3,50,11,4,39,17,0.353,0.4,0.441,0.842,128,199,17,1,1,6,12
9,C,Brian Johnson,28,82,257,243,18,66,13,1,8,35,0,0,4,36,0.272,0.29,0.432,0.722,93,105,8,4,2,4,2
10,OF,Marc Newfield,23,84,212,191,27,48,11,0,5,26,1,1,16,44,0.251,0.311,0.387,0.699,88,74,7,2,0,3,1
11,1B,Archi Cianfrocco,29,79,204,192,21,54,13,3,2,32,1,0,8,56,0.281,0.315,0.411,0.727,95,79,4,2,0,1,0
12,CI,Scott Livingstone*,30,102,181,172,20,51,4,1,2,20,0,1,9,22,0.297,0.331,0.366,0.698,89,63,6,0,0,0,0
13,LF,Greg Vaughn,30,43,167,141,20,29,3,1,10,22,4,1,24,31,0.206,0.329,0.454,0.783,110,64,1,2,0,0,2
14,C,Brad Ausmus,27,50,166,149,16,27,4,0,1,13,1,4,13,27,0.181,0.261,0.228,0.489,34,34,4,3,1,0,0
15,SS,Andujar Cedeno,26,49,165,154,10,36,2,1,3,18,3,2,9,32,0.234,0.279,0.318,0.597,62,49,7,1,0,1,2
16,SS,Luis Lopez#,25,63,151,139,10,25,3,0,2,11,0,0,9,35,0.18,0.233,0.245,0.478,30,34,7,1,1,1,1
17,OF,Chris Gwynn*,31,81,100,90,8,16,4,0,1,10,0,0,10,28,0.178,0.26,0.256,0.516,41,23,2,0,0,0,0
18,UT,Craig Shipley,33,33,99,92,13,29,5,0,1,7,7,0,2,15,0.315,0.337,0.402,0.739,100,37,0,2,1,2,1
19,RF,Rob Deer,35,25,64,50,9,9,3,0,4,9,0,0,14,30,0.18,0.359,0.48,0.839,125,24,1,0,0,0,0
20,1B,Jason Thompson*,25,13,51,49,4,11,4,0,2,6,0,0,1,14,0.224,0.235,0.429,0.664,75,21,0,0,0,1,0
21,OF,Doug Dascenzo#,32,21,10,9,3,1,0,0,0,0,0,1,1,2,0.111,0.2,0.111,0.311,-12,1,0,0,0,0,0
22,3B,Jim Tatum,28,5,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
23,,Sean Mulligan,26,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
24,,Todd Steverson,24,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
25,P,Joey Hamilton,25,34,81,68,7,11,2,0,1,4,0,0,2,32,0.162,0.186,0.235,0.421,13,16,1,0,11,0,0
26,P,Bob Tewksbury,35,36,76,65,1,2,1,0,0,2,0,0,3,27,0.031,0.074,0.046,0.12,-67,3,1,0,8,0,0
27,P,Fernando Valenzuela*,35,36,66,63,4,9,2,0,0,2,0,0,0,15,0.143,0.143,0.175,0.317,-14,11,0,0,3,0,0
28,P,Andy Ashby,28,25,55,45,6,11,5,0,0,5,0,0,0,13,0.244,0.239,0.356,0.595,59,16,0,0,9,1,0
29,P,Scott Sanders,27,46,41,36,2,7,3,0,0,1,0,0,1,11,0.194,0.216,0.278,0.494,33,10,0,0,4,0,0
30,P,Sean Bergman,26,43,30,30,1,3,0,0,1,5,0,0,0,9,0.1,0.1,0.2,0.3,-21,6,0,0,0,0,0
31,P,Tim Worrell,28,50,27,20,1,3,0,0,0,2,0,0,1,10,0.15,0.19,0.15,0.34,-6,3,0,0,6,0,0
32,P,Trevor Hoffman,28,70,9,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,1,0,0
33,P,Bryce Florie,26,39,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
34,P,Willie Blair,30,60,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
35,P,Al Osuna,30,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
36,P,Mike Oquist,28,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Glenn Dishman,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Andres Berumen,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
