Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Derek Norris,27,125,458,415,50,77,17,0,14,42,9,2,36,139,0.186,0.255,0.328,0.583,58,136,9,4,0,3,5
2,1B,Wil Myers,25,157,676,599,99,155,29,4,28,94,28,6,68,160,0.259,0.336,0.461,0.797,115,276,12,4,0,5,1
3,2B,Ryan Schimpf*,28,89,330,276,48,60,17,5,20,51,1,1,42,105,0.217,0.336,0.533,0.869,132,147,3,9,0,3,3
4,SS,Alexei Ramírez,34,128,444,421,33,101,19,2,5,41,6,9,17,56,0.24,0.275,0.33,0.605,64,139,7,4,0,2,3
5,3B,Yangervis Solarte#,28,109,443,405,55,116,26,1,15,71,1,1,30,63,0.286,0.341,0.467,0.808,118,189,7,5,0,3,1
6,LF,Melvin Upton Jr.,31,92,374,344,46,88,11,2,16,45,20,5,23,106,0.256,0.304,0.439,0.743,99,151,5,2,1,3,1
7,CF,Travis Jankowski*,25,131,383,335,53,82,13,2,2,12,30,12,42,100,0.245,0.332,0.313,0.646,78,105,5,2,3,0,0
8,RF,Matt Kemp,31,100,431,409,54,107,24,0,23,69,0,0,16,100,0.262,0.285,0.489,0.774,106,200,8,0,0,6,3
9,CF,Jon Jay*,31,90,374,347,49,101,26,1,2,26,2,0,19,78,0.291,0.339,0.389,0.728,98,135,5,6,1,0,0
10,LF,Alex Dickerson*,26,84,285,253,39,65,16,2,10,37,5,1,26,44,0.257,0.333,0.455,0.788,112,115,5,4,0,2,2
11,3B,Brett Wallace*,29,119,256,217,19,41,10,0,6,20,0,0,29,83,0.189,0.309,0.318,0.627,72,69,2,9,0,1,3
12,IF,Adam Rosales,33,105,248,214,37,49,12,3,13,35,4,0,29,88,0.229,0.319,0.495,0.814,118,106,2,1,0,4,2
13,C,Christian Bethancourt,24,73,204,193,20,44,9,0,6,25,1,2,10,56,0.228,0.265,0.368,0.633,70,71,9,0,0,1,0
14,2B,Alexi Amarista*,27,65,150,140,9,36,2,0,0,11,9,2,8,26,0.257,0.295,0.271,0.567,57,38,5,0,1,1,2
15,SS,Luis Sardinas#,23,34,120,108,13,31,6,1,2,13,3,1,11,23,0.287,0.353,0.417,0.77,109,45,0,0,1,0,3
