Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Ramon Hernandez,29,99,392,369,36,107,19,2,12,58,1,0,18,40,0.29,0.322,0.45,0.772,108,166,14,1,1,3,0
2,1B,Phil Nevin,34,73,306,281,31,72,11,1,9,47,1,0,19,67,0.256,0.301,0.399,0.699,89,112,2,1,0,5,0
3,2B,Mark Loretta,33,105,463,404,54,113,16,1,3,38,8,4,45,34,0.28,0.36,0.347,0.707,95,140,11,8,2,4,4
4,SS,Khalil Greene,25,121,476,436,51,109,30,2,15,70,5,0,25,93,0.25,0.296,0.431,0.727,96,188,8,6,3,6,3
5,3B,Sean Burroughs*,24,93,317,284,20,71,7,2,1,17,4,0,24,41,0.25,0.318,0.299,0.618,71,85,7,5,3,1,4
6,LF,Ryan Klesko*,34,137,520,443,61,110,19,1,18,58,3,4,75,80,0.248,0.358,0.418,0.775,111,185,6,1,0,1,2
7,CF,Dave Roberts*,33,115,480,411,65,113,19,10,8,38,23,12,53,59,0.275,0.356,0.428,0.784,113,176,9,1,11,4,3
8,RF,Brian Giles*,34,158,674,545,92,164,38,8,15,83,13,5,119,64,0.301,0.423,0.483,0.905,147,263,14,2,0,8,9
9,UT,Xavier Nady,26,124,356,326,40,85,15,2,13,43,2,1,22,67,0.261,0.321,0.439,0.76,105,143,5,7,1,0,1
10,MI,Damian Jackson,31,118,313,275,44,70,9,0,5,23,15,2,30,45,0.255,0.335,0.342,0.677,86,94,4,4,3,1,1
11,1B,Mark Sweeney*,35,135,267,221,31,65,12,1,8,40,4,0,40,58,0.294,0.395,0.466,0.861,135,103,6,0,1,5,3
12,UT,Robert Fick*,31,93,260,230,25,61,10,2,3,30,0,2,26,33,0.265,0.34,0.365,0.705,93,84,4,1,1,2,2
13,IF,Geoff Blum#,32,78,252,224,26,54,13,1,5,22,3,2,24,28,0.241,0.321,0.375,0.696,90,84,5,3,0,1,0
14,3B,Joe Randa,35,58,241,223,27,57,17,1,4,20,0,1,14,29,0.256,0.303,0.395,0.698,89,88,5,2,0,2,1
15,UT,Eric Young Sr.,38,56,163,142,22,39,9,0,2,12,7,6,18,12,0.275,0.356,0.38,0.737,102,54,4,0,3,0,0
16,C,Miguel Olivo,26,37,124,115,16,35,7,1,4,16,6,1,4,31,0.304,0.341,0.487,0.828,123,56,4,3,1,1,2
17,OF,Ben Johnson,24,31,88,75,10,16,8,1,3,13,0,2,11,23,0.213,0.31,0.467,0.777,109,35,4,0,1,1,1
18,C,Miguel Ojeda,30,43,83,73,6,10,3,1,0,6,1,1,9,21,0.137,0.232,0.205,0.437,21,15,2,0,1,0,2
19,MI,Jesse Garcia,31,16,39,36,4,6,0,0,2,4,0,0,3,11,0.167,0.231,0.333,0.564,52,12,0,0,0,0,1
20,UT,Paul McAnulty*,24,22,29,24,4,5,0,0,0,0,1,0,3,7,0.208,0.321,0.208,0.53,49,5,0,1,1,0,1
21,OF,Adam Hyzdu,33,17,25,20,1,3,1,0,0,4,1,0,3,4,0.15,0.25,0.2,0.45,25,4,1,0,1,1,0
22,IF,Manny Alexander,34,10,21,18,0,2,1,0,0,0,0,0,2,5,0.111,0.238,0.167,0.405,14,3,0,1,0,0,1
23,C,David Ross,28,11,19,17,2,6,0,1,0,0,0,0,0,4,0.353,0.389,0.471,0.859,134,8,0,1,1,0,0
24,SS,Wilson Valdez,27,9,15,13,0,3,2,0,0,1,0,0,2,1,0.231,0.333,0.385,0.718,96,5,1,0,0,0,0
25,P,Brian Lawrence,29,31,69,59,2,5,0,0,0,1,0,0,2,29,0.085,0.113,0.085,0.198,-45,5,2,0,7,1,0
26,P,Jake Peavy,24,28,63,53,5,10,1,0,0,2,0,0,4,16,0.189,0.259,0.208,0.466,30,11,1,1,5,0,0
27,P,Woody Williams,38,29,55,46,3,7,0,0,0,3,1,0,0,19,0.152,0.149,0.152,0.301,-17,7,1,0,8,1,0
28,P,Adam Eaton,27,25,52,46,2,8,0,1,0,2,0,1,3,18,0.174,0.224,0.217,0.442,22,10,0,0,3,0,0
29,P,Tim Stauffer,23,13,27,24,1,3,1,0,0,1,0,0,0,10,0.125,0.125,0.167,0.292,-21,4,0,0,3,0,0
30,P,Pedro Astacio,36,12,22,16,1,1,0,0,0,1,0,0,1,5,0.063,0.118,0.063,0.18,-49,1,2,0,5,0,0
31,P,Chan Ho Park,32,10,18,14,2,3,0,0,0,2,0,0,0,5,0.214,0.214,0.214,0.429,18,3,0,0,4,0,0
32,P,Darrell May*,33,18,10,9,0,1,0,0,0,0,0,0,0,5,0.111,0.111,0.111,0.222,-39,1,0,0,1,0,0
33,P,Tim Redding,27,9,9,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-100,0,0,0,1,0,0
34,P,Clay Hensley,25,24,6,6,0,1,1,0,0,0,0,0,0,3,0.167,0.167,0.333,0.5,32,2,0,0,0,0,0
35,P,Dennys Reyes,28,33,5,5,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,10,1,0,0,0,0,0
36,P,Chris Hammond*,39,52,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
37,P,Chris Oxspring*,28,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
38,P,Scott Cassidy,29,10,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,53,0,0,0,0,0,0
39,P,Craig Breslow*,24,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
40,P,Akinori Otsuka,33,62,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
41,P,Paul Quantrill*,36,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
42,P,Randy Williams*,29,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
43,P,Scott Linebrink,28,70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
44,P,Trevor Hoffman,37,60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Brian Falkenborg,27,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
