Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Fred Kendall,24,145,551,507,39,143,22,3,10,59,3,1,30,35,0.282,0.32,0.396,0.717,106,201,17,1,8,5,4
2,1B,Nate Colbert,27,145,598,529,73,143,25,2,22,80,9,8,54,146,0.27,0.343,0.45,0.793,128,238,12,8,1,6,9
3,2B,Rich Morales,29,90,275,244,9,40,6,1,0,16,0,1,27,36,0.164,0.245,0.197,0.442,29,48,3,0,2,2,6
4,SS,Derrel Thomas#,22,113,449,404,41,96,7,1,0,22,15,5,34,52,0.238,0.299,0.26,0.559,63,105,2,2,7,2,3
5,3B,Dave Roberts,22,127,503,479,56,137,20,3,21,64,11,2,17,83,0.286,0.31,0.472,0.782,123,226,6,1,3,3,3
6,LF,Leron Lee*,25,118,369,333,36,79,7,2,3,30,4,0,33,61,0.237,0.306,0.297,0.604,75,99,9,1,0,2,3
7,CF,Johnny Grubb*,24,113,432,389,52,121,22,3,8,37,9,3,37,50,0.311,0.373,0.445,0.818,136,173,6,2,3,1,2
8,RF,Cito Gaston,29,133,500,476,51,119,18,4,16,57,0,0,20,88,0.25,0.281,0.405,0.686,96,193,10,1,1,2,3
9,OF,Jerry Morales,24,122,420,388,47,109,23,2,9,34,6,5,27,55,0.281,0.325,0.42,0.745,114,163,14,0,1,4,3
10,SS,Enzo Hernandez,24,70,267,247,26,55,2,1,0,9,15,4,17,14,0.223,0.273,0.239,0.512,49,59,4,0,3,0,0
11,IF,Dave Hilton,22,70,258,234,21,46,9,0,5,16,2,1,19,35,0.197,0.26,0.299,0.559,61,70,4,1,4,0,6
12,UT,Ivan Murrell,30,93,216,210,23,48,13,1,9,21,2,0,2,52,0.229,0.236,0.429,0.664,88,90,4,0,4,0,0
13,LF,Gene Locklear*,23,67,177,154,20,37,6,1,3,25,9,4,21,22,0.24,0.33,0.351,0.68,97,54,2,0,1,1,1
14,LF,Dave Winfield,21,56,154,141,9,39,4,1,3,12,0,0,12,19,0.277,0.331,0.383,0.714,106,54,5,0,0,1,1
15,SS,Dwain Anderson,25,53,123,107,11,13,0,0,0,3,2,0,14,29,0.121,0.223,0.121,0.345,2,13,2,0,2,0,0
16,2B,Dave Campbell,31,33,108,98,2,22,3,0,0,8,1,1,7,15,0.224,0.271,0.255,0.526,53,25,4,0,1,2,1
17,C,Pat Corrales,32,29,82,72,7,15,2,1,0,3,0,0,6,10,0.208,0.275,0.264,0.539,57,19,1,1,1,1,1
18,RF,Dave Marshall*,30,39,59,49,4,14,5,0,0,4,0,1,8,9,0.286,0.39,0.388,0.778,126,19,4,1,0,1,0
19,C,Bob Davis,21,5,12,11,1,1,0,0,0,0,0,0,0,5,0.091,0.091,0.091,0.182,-47,1,0,0,1,0,0
20,2B,Don Mason*,28,8,8,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,1,0,0,0,0
21,P,Bill Greif,23,36,68,61,3,6,0,0,0,1,0,0,4,28,0.098,0.167,0.098,0.265,-22,6,0,1,2,0,0
22,P,Steve Arlin,27,34,67,60,2,10,1,0,0,5,0,0,4,21,0.167,0.231,0.183,0.414,21,11,1,1,2,0,0
23,P,Clay Kirby,25,35,66,54,1,5,1,0,0,1,0,0,1,21,0.093,0.109,0.111,0.22,-36,6,0,0,11,0,0
24,P,Randy Jones,23,20,53,48,2,8,1,0,0,2,0,0,1,22,0.167,0.184,0.188,0.371,8,9,0,0,4,0,0
25,P,Rich Troedson*,23,50,44,40,1,7,0,0,0,1,0,0,1,18,0.175,0.195,0.175,0.37,8,7,2,0,3,0,0
26,P,Mike Caldwell,24,56,39,35,2,5,0,0,0,0,0,0,1,12,0.143,0.167,0.143,0.31,-10,5,2,0,3,0,0
27,P,Mike Corkins,27,48,36,33,6,7,1,0,3,5,0,0,2,14,0.212,0.257,0.515,0.772,118,17,0,0,1,0,0
28,P,Fred Norman#,30,12,24,22,1,3,0,0,0,0,0,0,1,5,0.136,0.174,0.136,0.31,-9,3,0,0,1,0,0
29,P,Vicente Romo,30,49,19,16,2,2,0,0,0,1,0,0,1,2,0.125,0.176,0.125,0.301,-11,2,0,0,2,0,0
30,P,Gary Ross,25,58,5,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,1,0,0
31,P,Frank Snook,24,18,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
32,P,Bob Miller,34,18,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
,,Team Totals,25.2,162,5986,5457,548,1330,198,26,112,516,88,36,401,966,0.244,0.296,0.351,0.647,87,1916,115,21,73,33,46
,,Rank in 12 NL teams,,,,9,12,11,10,9,9,,6,3,12,11,12,12,11,12,,10,,11,,11,
,,Non-Pitcher Totals,25.2,162,5561,5080,528,1277,194,26,109,500,88,36,385,818,0.251,0.305,0.364,0.669,93,1850,110,19,43,33,46
,,Pitcher Totals,25.2,162,425,377,20,53,4,0,3,16,0,0,16,148,0.141,0.18,0.175,0.355,3,66,5,2,30,0,0
