Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Fred Kendall,27,146,505,456,30,112,17,0,2,39,1,1,36,42,0.246,0.302,0.296,0.598,77,135,20,3,5,5,4
2,1B,Mike Ivie,23,140,446,405,51,118,19,5,7,70,6,6,30,41,0.291,0.345,0.415,0.759,123,168,10,5,2,4,8
3,2B,Tito Fuentes#,32,135,559,520,48,137,18,0,2,36,5,3,18,38,0.263,0.287,0.31,0.597,76,161,12,1,16,4,0
4,SS,Enzo Hernandez,27,113,389,340,31,87,13,3,1,24,12,7,32,16,0.256,0.319,0.321,0.64,89,109,5,0,16,1,4
5,3B,Doug Rader,31,139,540,471,45,121,22,4,9,55,3,4,55,102,0.257,0.335,0.378,0.712,110,178,12,3,5,6,3
6,LF,Jerry Turner*,22,105,320,281,41,75,16,5,5,37,12,6,32,38,0.267,0.339,0.413,0.751,121,116,3,0,4,3,3
7,CF,Willie Davis*,36,141,522,493,61,132,18,10,5,46,14,2,19,34,0.268,0.295,0.375,0.67,97,185,6,2,3,5,2
8,RF,Dave Winfield,24,137,567,492,81,139,26,4,13,69,26,7,65,78,0.283,0.366,0.431,0.797,135,212,14,3,2,5,8
9,OF,Johnny Grubb*,27,109,461,384,54,109,22,1,5,27,1,2,65,53,0.284,0.391,0.385,0.777,130,148,5,4,6,2,10
10,IF,Ted Kubiak#,34,96,245,212,16,50,5,2,0,26,0,3,25,28,0.236,0.314,0.278,0.592,76,59,9,0,5,2,2
11,SS,Hector Torres,30,74,237,215,8,42,6,0,4,15,2,1,16,31,0.195,0.254,0.279,0.533,57,60,8,1,3,0,3
12,1B,Willie McCovey*,38,71,224,202,20,41,9,0,7,36,0,0,21,39,0.203,0.281,0.351,0.633,86,71,4,1,0,0,7
13,LF,Merv Rettenmund,33,86,172,140,16,32,7,0,2,11,4,1,29,23,0.229,0.361,0.321,0.682,103,45,3,0,3,0,0
14,CF,Luis Melendez,26,72,123,119,15,29,5,0,0,5,1,1,3,12,0.244,0.26,0.286,0.546,61,34,3,0,0,1,1
15,C,Bob Davis,24,51,90,83,7,17,0,1,0,5,0,0,5,13,0.205,0.244,0.229,0.473,40,19,0,0,0,2,1
16,LF,Gene Locklear*,26,43,74,67,9,15,3,0,0,8,0,0,4,15,0.224,0.264,0.269,0.533,57,18,0,0,2,1,1
17,SS,Bill Almon,23,14,60,57,6,14,3,0,1,6,3,1,2,9,0.246,0.271,0.351,0.622,83,20,0,0,1,0,0
18,UT,Bobby Valentine,26,15,57,49,3,18,4,0,0,4,0,1,6,2,0.367,0.436,0.449,0.885,162,22,2,0,2,0,0
19,2B,Mike Champion,21,11,40,38,4,9,2,0,1,2,0,0,1,3,0.237,0.256,0.368,0.625,83,14,1,0,1,0,0
20,3B,Tucker Ashford,21,4,6,5,0,3,1,0,0,0,2,0,1,0,0.6,0.667,0.8,1.467,331,4,0,0,0,0,0
21,P,Randy Jones,26,40,123,103,6,6,0,0,0,2,0,0,5,39,0.058,0.102,0.058,0.16,-52,6,0,0,15,0,0
22,P,Brent Strom,27,38,79,63,4,4,0,1,0,1,0,0,5,18,0.063,0.13,0.095,0.226,-33,6,1,0,10,1,0
23,P,Dave Freisleben,24,34,48,37,3,7,0,1,0,2,0,0,2,8,0.189,0.231,0.243,0.474,40,9,0,0,9,0,0
24,P,Rick Sawyer,28,13,31,24,2,5,0,0,0,2,0,0,2,2,0.208,0.269,0.208,0.478,42,5,0,0,5,0,0
25,P,Tom Griffin,28,12,29,26,2,2,0,0,0,0,0,0,0,7,0.077,0.077,0.077,0.154,-54,2,0,0,3,0,0
26,P,Dan Spillner,24,33,28,25,2,1,0,0,0,0,0,0,3,8,0.04,0.143,0.04,0.183,-44,1,1,0,0,0,0
27,P,Alan Foster,29,29,24,18,1,1,0,0,0,0,0,0,3,6,0.056,0.19,0.056,0.246,-25,1,0,0,3,0,0
28,P,Butch Metzger,24,77,12,8,1,0,0,0,0,0,0,0,2,2,0,0.2,0,0.2,-37,0,0,0,2,0,0
29,P,Dave Tomlin*,27,49,9,8,2,0,0,0,0,0,0,0,1,2,0,0.111,0,0.111,-65,0,0,0,0,0,0
30,P,Bill Greif,26,5,8,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
31,P,Dave Wehrmeister,23,7,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
32,P,Rich Folkers*,29,33,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,1,0,0
33,P,Ken Reynolds*,29,19,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
34,P,Jerry Johnson,32,24,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
35,P,Bob Owchinko*,21,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,1,0,0
36,P,Mike Dupree,23,12,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,491,1,0,0,0,0,0
,,Team Totals,28.6,162,6050,5369,570,1327,216,37,64,528,92,46,488,716,0.247,0.31,0.337,0.647,91,1809,119,23,125,42,57
,,Rank in 12 NL teams,,,,11,11,10,6,6,11,,7,3,9,1,8,11,11,11,,11,,8,,8,
