Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Rene Rivera,30,103,329,294,27,74,18,1,11,44,0,0,27,76,0.252,0.319,0.432,0.751,116,127,6,3,3,2,3
2,1B,Yonder Alonso*,27,84,288,267,27,64,19,1,7,27,6,1,17,36,0.24,0.285,0.397,0.682,96,106,8,1,0,3,1
3,2B,Jedd Gyorko,25,111,443,400,37,84,17,1,10,51,3,2,36,100,0.21,0.28,0.333,0.612,78,133,8,4,0,3,1
4,SS,Everth Cabrera#,27,90,391,357,36,83,13,1,3,20,18,8,20,86,0.232,0.272,0.3,0.572,67,107,5,1,9,4,0
5,3B,Chase Headley#,30,77,307,279,27,64,12,1,7,32,4,1,22,73,0.229,0.296,0.355,0.651,89,99,12,5,0,1,0
6,LF,Seth Smith*,31,136,521,443,55,118,31,5,12,48,1,1,69,87,0.266,0.367,0.44,0.807,134,195,9,4,0,4,3
7,CF,Cameron Maybin,27,95,272,251,24,59,13,4,1,15,4,3,19,56,0.235,0.29,0.331,0.621,81,83,8,1,0,1,2
8,RF,Will Venable*,31,146,448,406,47,91,13,2,8,33,11,6,33,107,0.224,0.288,0.325,0.613,78,132,6,4,3,2,2
9,IF,Alexi Amarista*,25,148,466,423,39,101,13,2,5,40,12,1,29,69,0.239,0.286,0.314,0.6,75,133,6,1,8,5,5
10,UT,Yasmani Grandal#,25,128,443,377,47,85,19,1,15,49,3,0,58,115,0.225,0.327,0.401,0.728,111,151,7,2,0,6,1
11,RF,Chris Denorfia,33,89,268,248,25,60,10,3,1,16,8,1,18,51,0.242,0.293,0.319,0.612,78,79,4,0,2,0,0
12,UT,Tommy Medica,26,102,259,240,31,56,11,2,9,27,6,1,14,75,0.233,0.286,0.408,0.694,99,98,5,4,0,1,0
13,3B,Yangervis Solarte#,26,56,246,217,30,58,5,1,4,17,0,1,23,24,0.267,0.336,0.355,0.691,102,77,5,1,2,3,1
14,LF,Carlos Quentin,31,50,155,130,9,23,6,0,4,18,0,0,17,33,0.177,0.284,0.315,0.599,74,41,5,4,0,4,0
15,RF,Rymer Liriano,23,38,121,109,13,24,2,0,1,6,4,1,9,39,0.22,0.289,0.266,0.555,63,29,6,2,0,1,1
16,1B,Jake Goebbert*,26,51,115,101,12,22,1,3,1,10,2,1,12,32,0.218,0.313,0.317,0.63,84,32,0,2,0,0,3
17,OF,Abraham Almonte#,25,32,107,98,9,26,5,0,2,7,1,2,6,20,0.265,0.305,0.378,0.682,98,37,4,0,2,1,0
18,3B,Chris Nelson,28,27,81,73,5,17,3,0,0,7,1,2,7,14,0.233,0.296,0.274,0.57,68,20,5,0,0,1,1
19,UT,Cory Spangenberg*,23,20,65,62,7,18,2,1,2,9,4,2,2,14,0.29,0.313,0.452,0.764,119,28,1,0,1,0,0
20,C,Nick Hundley,30,33,59,59,1,16,3,0,1,3,0,0,0,13,0.271,0.271,0.373,0.644,85,22,1,0,0,0,0
21,IF,Jace Peterson*,24,27,58,53,3,6,0,0,0,0,2,0,2,18,0.113,0.161,0.113,0.274,-18,6,1,1,2,0,1
22,OF,Xavier Nady,35,22,42,37,4,5,1,0,3,4,0,0,5,9,0.135,0.238,0.405,0.644,83,15,4,0,0,0,0
23,2B,Brooks Conrad#,34,13,34,30,2,3,1,0,1,2,0,0,3,14,0.1,0.176,0.233,0.41,18,7,0,0,0,1,0
24,RF,Jeff Francoeur,30,10,28,24,2,2,0,0,0,1,0,0,3,7,0.083,0.179,0.083,0.262,-20,2,0,0,0,1,0
25,2B,Irving Falu#,31,11,23,20,0,3,0,0,0,0,1,0,3,4,0.15,0.261,0.15,0.411,24,3,1,0,0,0,1
26,C,Adam Moore,30,9,12,10,1,2,1,0,0,1,0,0,2,5,0.2,0.333,0.3,0.633,86,3,0,0,0,0,1
27,1B,Kyle Blanks,27,5,10,10,1,2,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,17,2,0,0,0,0,0
28,P,Ian Kennedy,29,32,63,52,3,6,1,0,1,5,0,0,5,24,0.115,0.193,0.192,0.385,13,10,0,0,6,0,0
29,P,Tyson Ross,27,29,63,56,6,10,1,0,0,3,0,0,3,22,0.179,0.23,0.196,0.426,26,11,0,1,2,1,0
30,P,Eric Stults*,34,29,53,48,1,4,1,0,0,1,0,0,1,18,0.083,0.102,0.104,0.206,-40,5,1,0,4,0,0
31,P,Andrew Cashner,27,23,42,35,3,6,1,1,0,2,0,0,1,14,0.171,0.194,0.257,0.452,30,9,0,0,6,0,0
32,P,Odrisamer Despaigne,27,15,28,24,0,0,0,0,0,0,0,0,1,10,0,0.04,0,0.04,-87,0,0,0,3,0,0
33,P,Jesse Hahn,24,14,24,22,1,2,0,0,0,1,0,0,0,12,0.091,0.091,0.091,0.182,-47,2,0,0,2,0,0
34,P,Robbie Erlin,23,12,19,18,0,2,0,0,0,1,0,0,1,6,0.111,0.158,0.111,0.269,-20,2,0,0,0,0,0
35,P,Tim Stauffer,32,42,8,7,0,1,0,0,0,0,0,0,0,2,0.143,0.143,0.143,0.286,-16,1,0,0,1,0,0
36,P,Donn Roach,24,16,4,4,0,1,1,0,0,0,0,0,0,1,0.25,0.25,0.5,0.75,112,2,0,0,0,0,0
37,P,Joe Wieland,24,4,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
38,P,Jason Lane,37,3,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,95,1,0,0,0,0,0
39,P,Nick Vincent,27,59,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
40,P,Alex Torres*,26,67,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
41,P,Dale Thayer,33,65,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
42,P,Billy Buckner,30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
43,P,Leonel Campos,26,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Kevin Quackenbush,25,54,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Frank Garces*,24,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Huston Street,30,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Blaine Boyer,32,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Hector Ambriz*,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Joaquin Benoit,36,49,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Troy Patton#,28,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,R.J. Alvarez,23,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,27.9,162,5905,5294,535,1199,224,30,109,500,91,34,468,1294,0.226,0.292,0.342,0.634,84,1810,118,41,56,45,27
,,Rank in 15 NL teams,,,,15,15,15,15,7,14,,9,8,8,10,15,15,15,15,,15,,14,,3,
,,Non-Pitcher Totals,27.9,162,5591,5018,521,1166,219,29,108,487,91,34,456,1180,0.232,0.299,0.352,0.651,89,1767,117,40,32,44,27
,,Pitcher Totals,28.2,162,314,276,14,33,5,1,1,13,0,0,12,114,0.12,0.159,0.156,0.314,-8,43,1,1,24,1,0
