Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Year
2.0,1B,Adrian Gonzalez*,28.0,160.0,693.0,591.0,87.0,176.0,33.0,0.0,31.0,101.0,0.0,0.0,93.0,114.0,0.298,0.39299999999999996,0.511,0.904,152.0,302.0,15.0,2.0,2.0,4.0,35.0,2010
3.0,2B,David Eckstein,35.0,116.0,492.0,442.0,49.0,118.0,23.0,0.0,1.0,29.0,8.0,1.0,27.0,35.0,0.267,0.321,0.326,0.647,83.0,144.0,6.0,9.0,12.0,2.0,0.0,2010
4.0,SS,Miguel Tejada,36.0,59.0,253.0,235.0,31.0,63.0,10.0,0.0,8.0,32.0,2.0,0.0,15.0,28.0,0.268,0.317,0.413,0.73,104.0,97.0,3.0,2.0,1.0,0.0,0.0,2010
5.0,3B,Chase Headley#,26.0,161.0,674.0,610.0,77.0,161.0,29.0,3.0,11.0,58.0,17.0,5.0,56.0,139.0,0.264,0.327,0.375,0.7020000000000001,97.0,229.0,11.0,3.0,1.0,4.0,3.0,2010
6.0,LF,Scott Hairston,30.0,104.0,336.0,295.0,34.0,62.0,10.0,0.0,10.0,36.0,6.0,1.0,31.0,69.0,0.21,0.295,0.34600000000000003,0.64,80.0,102.0,3.0,6.0,0.0,4.0,1.0,2010
7.0,CF,Tony Gwynn*,27.0,117.0,339.0,289.0,30.0,59.0,9.0,3.0,3.0,20.0,17.0,4.0,41.0,50.0,0.204,0.304,0.287,0.591,68.0,83.0,3.0,1.0,7.0,1.0,4.0,2010
8.0,RF,Will Venable*,27.0,131.0,445.0,392.0,60.0,96.0,11.0,7.0,13.0,51.0,29.0,7.0,45.0,128.0,0.245,0.324,0.408,0.732,104.0,160.0,3.0,3.0,0.0,5.0,8.0,2010
1.0,C,Bob Barton,29.0,121.0,413.0,376.0,23.0,94.0,17.0,2.0,5.0,23.0,0.0,5.0,35.0,49.0,0.25,0.317,0.34600000000000003,0.6629999999999999,94.0,130.0,16.0,2.0,0.0,0.0,11.0,1971
2.0,1B,Nate Colbert,25.0,156.0,639.0,565.0,81.0,149.0,25.0,3.0,27.0,84.0,5.0,2.0,63.0,119.0,0.264,0.33899999999999997,0.462,0.8009999999999999,133.0,261.0,17.0,4.0,2.0,5.0,6.0,1971
3.0,2B,Don Mason*,26.0,113.0,377.0,344.0,43.0,73.0,12.0,1.0,2.0,11.0,6.0,4.0,27.0,35.0,0.212,0.27,0.27,0.54,59.0,93.0,11.0,0.0,6.0,0.0,0.0,1971
4.0,SS,Enzo Hernandez,22.0,143.0,618.0,549.0,58.0,122.0,9.0,3.0,0.0,12.0,21.0,5.0,54.0,34.0,0.222,0.295,0.25,0.545,61.0,137.0,6.0,3.0,12.0,0.0,1.0,1971
